Frequency [Hz], Amplitude [dB], Phase [deg]
10, -6.005919, 142.388168
11.513953993264476, -6.136584, 138.262161
13.257113655901088, -6.30301, 133.655334
15.264179671752334, -6.503422, 128.636795
17.57510624854792, -6.798689, 122.722893
20.235896477251575, -7.284935, 116.405945
23.29951810515372, -8.219931, 112.543884
26.826957952797258, -9.320251, 109.683701
30.888435964774818, -10.509647, 107.04586
35.564803062231285, -11.747253, 104.683922
40.94915062380425, -13.067699, 102.705132
47.14866363457394, -14.426888, 100.834862
54.286754393238596, -15.8815, 99.209282
62.50551925273973, -17.442162, 97.663658
71.96856730011521, -19.149582, 96.278679
82.86427728546842, -21.116146, 94.965858
95.40954763499938, -23.441422, 93.854401
109.85411419875584, -26.35602, 92.802216
126.48552168552958, -30.524166, 91.653587
145.63484775012444, -38.375153, 90.701981
167.68329368110082, -45.357262, -90.072838
193.06977288832496, -32.783684, -91.56102
222.29964825261956, -27.744978, -92.313721
255.95479226995357, -24.433308, -93.274826
294.705170255181, -21.955805, -94.58181
339.32217718953297, -19.884472, -95.642303
390.6939937054617, -18.08209, -97.099045
449.8432668969444, -16.462954, -98.392174
517.9474679231213, -14.964705, -100.081985
596.3623316594643, -13.572341, -101.852119
686.6488450042998, -12.254268, -103.860825
790.6043210907702, -10.992235, -106.033501
910.2981779915218, -9.778813, -108.487984
1048.1131341546852, -8.395339, -111.986839
1206.792640639329, -6.523852, -118.737892
1389.4954943731375, -4.692995, -127.093048
1599.8587196060573, -3.277693, -134.941391
1842.0699693267163, -2.289646, -141.609619
2120.9508879201903, -1.597975, -147.222809
2442.05309454865, -1.105307, -151.925995
2811.7686979742307, -0.759296, -155.892853
3237.457542817643, -0.50808, -159.342926
3727.593720314938, -0.336694, -162.254181
4291.934260128778, -0.215697, -164.772141
4941.713361323833, -0.132343, -166.985397
5689.866029018293, -0.075846, -168.933624
6551.285568595509, -0.034548, -170.641754
7543.120063354615, -0.006909, -172.153564
8685.11373751352, 0.013626, -173.50386
10000, 0.027555, -174.735458
