Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, 0.219999, -19.766594
53.15224797246956, 0.245884, -21.316273
56.503229290537924, 0.273884, -22.821301
60.06547308991954, 0.299783, -24.605143
63.85229840518206, 0.329484, -26.4816
67.8778639688872, 0.354726, -28.625084
72.15722115031703, 0.378433, -30.958904
76.70637023171952, 0.401273, -33.537384
81.54232023248832, 0.422564, -36.359398
86.68315250495482, 0.443728, -39.545826
92.14808833957515, 0.458209, -43.058056
97.9575608322826, 0.459076, -46.842922
104.13329128271519, 0.459177, -51.112789
110.69837040896562, 0.439663, -55.926926
117.67734468251255, 0.395387, -61.107231
125.09630810613373, 0.309083, -66.712456
132.9829997779535, 0.170222, -72.586838
141.36690760641298, -0.06227, -78.702477
150.27937856394513, -0.484307, -84.937874
159.75373589158878, -1.075118, -91.109032
169.82540369276293, -1.788772, -97.193115
180.5320393820497, -2.604163, -102.918144
191.91367448420692, -3.501805, -108.210091
204.01286430984766, -4.453616, -112.965668
216.87484706741617, -5.448047, -117.325439
230.54771300637435, -6.498528, -121.254776
245.08258422401113, -7.585339, -124.696701
260.53380580816594, -8.671471, -127.685974
276.9591490305377, -9.760349, -130.36937
294.4200273503058, -10.87414, -132.645309
312.9817260356945, -11.964116, -134.554398
332.71364626201574, -13.063594, -136.276627
353.6895645988636, -14.159096, -137.679077
375.9879088566719, -15.23774, -138.895981
399.6920513240022, -16.327, -139.850601
424.8906204919679, -17.389334, -140.611389
451.67783243131123, -18.455158, -141.132874
480.1538430611322, -19.501097, -141.566864
510.42512262639065, -20.550497, -141.759552
542.6048537843226, -21.582249, -141.839706
576.8133547881981, -22.599659, -141.852905
613.1785293506874, -23.609583, -141.560928
651.836344868839, -24.57114, -141.134567
692.9313407987344, -25.575569, -140.711334
736.6171690806029, -26.546074, -140.117279
783.0571686350157, -27.52055, -139.482056
832.4249760781654, -28.478745, -138.777466
884.9051749396748, -29.402887, -137.849564
940.6939858103032, -30.338146, -136.966049
1000, -31.251862, -135.894699
