Frequency [Hz], Amplitude [dB], Phase [deg]
49.99999999999999, 0.233245, -19.653641
51.53612032610433, 0.247784, -20.424223
53.11943396533411, 0.259239, -21.088364
54.75139080984025, 0.272261, -21.842825
56.433485295949836, 0.2851, -22.685776
58.16725777267021, 0.29801, -23.520016
59.95429591223723, 0.31325, -24.354679
61.796236163998465, 0.325758, -25.275784
63.69476525296374, 0.342357, -26.200756
65.65162172439418, 0.355661, -27.204069
67.66859753584531, 0.372298, -28.231461
69.74753969812103, 0.385664, -29.335123
71.89035196664213, 0.397625, -30.494247
74.0989965847772, 0.413053, -31.70216
76.37549608073348, 0.428177, -32.957382
78.72193511965182, 0.442642, -34.288254
81.14046241260314, 0.455641, -35.69767
83.63329268423324, 0.468462, -37.155613
86.20270870085896, 0.478786, -38.705795
88.85106336087178, 0.490635, -40.342354
91.58078184936421, 0.505639, -42.095036
94.39436385895092, 0.51596, -43.900463
97.29438587881944, 0.522919, -45.822571
100.28350355410537, 0.526953, -47.763279
103.36445411775371, 0.533657, -49.963501
106.54005889709293, 0.535283, -52.170063
109.81322589741649, 0.534948, -54.506493
113.18695246493866, 0.529021, -56.993336
116.66432803156273, 0.516587, -59.612572
120.24853694397449, 0.493116, -62.348427
123.94286137965344, 0.465735, -65.183884
127.75068435246993, 0.433009, -68.073166
131.6754928106213, 0.380111, -71.107773
135.7208808297453, 0.319148, -74.218208
139.89055290413245, 0.243054, -77.372063
144.18832733905268, 0.144488, -80.603256
148.61813974730293, 0.013152, -83.863594
153.18404665317587, -0.154702, -87.116898
157.89022920715306, -0.392683, -90.354599
162.74099701472082, -0.696129, -93.640793
167.74079208281677, -1.027694, -96.888435
172.8941928875219, -1.385422, -100.06144
178.20591856672044, -1.779336, -103.181961
183.6808332415691, -2.199654, -106.197365
189.32395047073243, -2.627405, -109.06102
195.14043784146168, -3.085882, -111.852036
201.13562170172506, -3.558977, -114.524803
207.31499203771833, -4.045956, -117.060219
213.68420750122428, -4.548513, -119.539948
220.24910059142684, -5.053618, -121.844116
227.01568299592063, -5.579564, -124.060196
233.9901510958105, -6.112304, -126.170502
241.17889163994047, -6.657562, -128.141022
248.58848759344932, -7.200237, -129.970871
256.225724166006, -7.751304, -131.726532
264.0975950252501, -8.300183, -133.396942
272.21130870112154, -8.845026, -134.948715
280.57429518694664, -9.406155, -136.449982
289.19421274332797, -9.966619, -137.849396
298.07895491106336, -10.524735, -139.139694
307.2366577395198, -11.084867, -140.329269
316.67570723708087, -11.633382, -141.506073
326.4047470504878, -12.19686, -142.625107
336.4326863801118, -12.756821, -143.665939
346.7687081383997, -13.316902, -144.621582
357.4222773589664, -13.868152, -145.489151
368.40314986403865, -14.428513, -146.338898
379.7213811981789, -14.976755, -147.143768
391.38733583647763, -15.530909, -147.938187
403.41169667564276, -16.080429, -148.613434
415.8054748166766, -16.628124, -149.266251
428.58001964810387, -17.16795, -149.970352
441.7470292389773, -17.732206, -150.554977
455.3185610511813, -18.269537, -151.012573
469.3070429808473, -18.810537, -151.51326
483.7252847389833, -19.355017, -151.929062
498.58648958174655, -19.891951, -152.371582
513.9042664010972, -20.438986, -152.811432
529.6926421869069, -20.975168, -153.291
545.9660748719314, -21.522072, -153.510574
562.7394665714154, -22.054943, -153.803528
580.0281772294447, -22.590647, -154.118027
597.8480386845528, -23.129843, -154.344498
616.2153691674517, -23.661451, -154.566101
635.146988244172, -24.196598, -154.774078
654.6602322182886, -24.724922, -154.916245
674.7729700063431, -25.255154, -155.098557
695.5036195009939, -25.792316, -155.196548
716.8711644368869, -26.315094, -155.274109
738.8951717746787, -26.845922, -155.355698
761.5958096191474, -27.365967, -155.405869
784.9938656877847, -27.892038, -155.463608
809.1107663467892, -28.416332, -155.400055
833.9685962318924, -28.933479, -155.41626
859.5901184719835, -29.448399, -155.375366
885.9987955340486, -29.97979, -155.333099
913.2188107085248, -30.489143, -155.233292
941.2750902547297, -31.014122, -155.122559
970.1933262266493, -31.524548, -155.025253
1000, -32.049076, -154.802719
