time	V(v_f1)	V(v_f2)	V(v_hp)	V(v_tp)	V(n003)	V(n005)
0.000000000000000e+000	1.101136e-005	2.205157e-005	1.101142e-005	-1.099795e-007	0.000000e+000	2.450166e+000
2.925714121764552e-008	1.151824e-005	2.157816e-005	1.068806e-005	-1.527974e-007	8.328316e-012	2.450166e+000
5.851428243529103e-008	1.192986e-005	1.946197e-005	1.101018e-005	-2.227857e-007	2.629226e-011	2.450166e+000
8.777142365293655e-008	1.224624e-005	1.570300e-005	1.197776e-005	-3.199443e-007	5.389184e-011	2.450166e+000
1.170285648705821e-007	1.246737e-005	1.030125e-005	1.359081e-005	-4.442732e-007	9.112705e-011	2.450166e+000
1.462857060882276e-007	1.259325e-005	3.256711e-006	1.584932e-005	-5.957724e-007	1.379979e-010	2.450166e+000
1.755428473058731e-007	1.262388e-005	-5.430608e-006	1.875331e-005	-7.744419e-007	1.945044e-010	2.450166e+000
2.047999885235186e-007	1.255926e-005	-1.576071e-005	2.230276e-005	-9.802817e-007	2.606464e-010	2.450166e+000
3.644907488738609e-007	1.226976e-005	-7.617562e-005	5.658681e-005	-1.394356e-006	1.180980e-009	2.450166e+000
5.427618145995653e-007	1.177301e-005	-1.542518e-004	1.167689e-004	-1.245269e-006	3.493910e-009	2.450166e+000
7.759244573135583e-007	1.126554e-005	-2.622981e-004	2.149371e-004	-7.482350e-007	8.812266e-009	2.450166e+000
1.032291725187914e-006	1.084867e-005	-3.831565e-004	3.322168e-004	-3.801135e-007	1.781618e-008	2.450166e+000
1.934437894555929e-006	8.811875e-006	-8.104537e-004	7.581509e-004	-1.173306e-007	7.869325e-008	2.450166e+000
3.030211000800726e-006	3.663239e-006	-1.327148e-003	1.275160e-003	-7.787590e-008	2.166475e-007	2.450166e+000
5.221757213290322e-006	-1.580126e-005	-2.351033e-003	2.299655e-003	1.441195e-007	6.964365e-007	2.450166e+000
9.604849638269511e-006	-8.573716e-005	-4.366035e-003	4.314911e-003	1.578298e-006	2.338500e-006	2.450165e+000
1.601046809698679e-005	-2.504588e-004	-7.243352e-003	7.189522e-003	6.808521e-006	6.095749e-006	2.450162e+000
2.283077967188606e-005	-5.034594e-004	-1.022097e-002	1.015874e-002	1.796920e-005	1.175019e-005	2.450157e+000
2.886348022761480e-005	-8.005143e-004	-1.277088e-002	1.269391e-002	3.520674e-005	1.827266e-005	2.450148e+000
3.563729163359213e-005	-1.214489e-003	-1.553862e-002	1.543448e-002	6.524925e-005	2.721277e-005	2.450132e+000
4.238905735050777e-005	-1.710260e-003	-1.819422e-002	1.804865e-002	1.096099e-004	3.771977e-005	2.450110e+000
5.146814637642048e-005	-2.498121e-003	-2.160770e-002	2.138028e-002	1.954851e-004	5.404642e-005	2.450068e+000
6.146814637642048e-005	-3.504242e-003	-2.517731e-002	2.482280e-002	3.271133e-004	7.434073e-005	2.450003e+000
7.146814637642048e-005	-4.651671e-003	-2.854044e-002	2.801293e-002	5.047418e-004	9.675154e-005	2.449919e+000
8.146814637642048e-005	-5.932794e-003	-3.169361e-002	3.094022e-002	7.353361e-004	1.208703e-004	2.449811e+000
9.146814637642048e-005	-7.336108e-003	-3.463862e-002	3.360084e-002	1.024510e-003	1.462193e-004	2.449678e+000
1.014681463764205e-004	-8.849962e-003	-3.737760e-002	3.599180e-002	1.377372e-003	1.723211e-004	2.449520e+000
1.114681463764205e-004	-1.046259e-002	-3.991302e-002	3.811093e-002	1.798526e-003	1.987037e-004	2.449336e+000
1.214681463764205e-004	-1.216217e-002	-4.224764e-002	3.995690e-002	2.292058e-003	2.249051e-004	2.449125e+000
1.314681463764205e-004	-1.393681e-002	-4.438451e-002	4.152919e-002	2.861542e-003	2.504785e-004	2.448889e+000
1.414681463764205e-004	-1.577462e-002	-4.632697e-002	4.282805e-002	3.510033e-003	2.749966e-004	2.448628e+000
1.514681463764205e-004	-1.766372e-002	-4.807864e-002	4.385458e-002	4.240057e-003	2.979879e-004	2.448343e+000
1.614681463764205e-004	-1.959228e-002	-4.964339e-002	4.461059e-002	5.053632e-003	3.191027e-004	2.448036e+000
1.714681463764205e-004	-2.154867e-002	-5.102524e-002	4.509857e-002	5.952294e-003	3.381568e-004	2.447709e+000
1.814681463764205e-004	-2.352127e-002	-5.222848e-002	4.532180e-002	6.937047e-003	3.548085e-004	2.447365e+000
1.914681463764205e-004	-2.549862e-002	-5.325768e-002	4.528432e-002	8.008378e-003	3.686880e-004	2.447005e+000
2.014681463764205e-004	-2.746943e-002	-5.411753e-002	4.499085e-002	9.166284e-003	3.795614e-004	2.446633e+000
2.114681463764205e-004	-2.942266e-002	-5.481293e-002	4.444674e-002	1.041027e-002	3.872364e-004	2.446251e+000
2.214681463764205e-004	-3.134747e-002	-5.534893e-002	4.365801e-002	1.173937e-002	3.915637e-004	2.445864e+000
2.314681463764205e-004	-3.323330e-002	-5.573074e-002	4.263130e-002	1.315213e-002	3.924381e-004	2.445474e+000
2.414681463764205e-004	-3.506989e-002	-5.596369e-002	4.137385e-002	1.464665e-002	3.897990e-004	2.445085e+000
