in s,C1 in V,C2 in V
-1.007171E-02,-5.2615247E+00,-6.1640289E-01
-1.006843E-02,-5.2627454E+00,-6.0526398E-01
-1.006515E-02,-5.2612195E+00,-5.9397247E-01
-1.006188E-02,-5.2578625E+00,-5.8153656E-01
-1.005860E-02,-5.2599988E+00,-5.7055023E-01
-1.005532E-02,-5.2590833E+00,-5.5712250E-01
-1.005204E-02,-5.2535901E+00,-5.4491547E-01
-1.004877E-02,-5.2453503E+00,-5.3202179E-01
-1.004549E-02,-5.2401624E+00,-5.1798370E-01
-1.004221E-02,-5.2355847E+00,-5.0417450E-01
-1.003894E-02,-5.2358899E+00,-4.9135712E-01
-1.003566E-02,-5.2346692E+00,-4.7709015E-01
-1.003238E-02,-5.2383313E+00,-4.6343353E-01
-1.002911E-02,-5.2371106E+00,-4.4878510E-01
-1.002583E-02,-5.2349744E+00,-4.3497589E-01
-1.002255E-02,-5.2389417E+00,-4.2070892E-01
-1.001928E-02,-5.2386365E+00,-4.0483978E-01
-1.001600E-02,-5.2429089E+00,-3.8965729E-01
-1.001272E-02,-5.2374158E+00,-3.7432220E-01
-1.000945E-02,-5.2392468E+00,-3.5868195E-01
-1.000617E-02,-5.2429089E+00,-3.4319427E-01
-1.000289E-02,-5.2404675E+00,-3.2816437E-01
-9.999616E-03,-5.2365002E+00,-3.1244781E-01
-9.996339E-03,-5.2389417E+00,-2.9612091E-01
-9.993062E-03,-5.2380261E+00,-2.7925995E-01
-9.989786E-03,-5.2416882E+00,-2.6331451E-01
-9.986509E-03,-5.2389417E+00,-2.4645355E-01
-9.983232E-03,-5.2374158E+00,-2.3104218E-01
-9.979955E-03,-5.2346692E+00,-2.1395233E-01
-9.976678E-03,-5.2380261E+00,-1.9838837E-01
-9.973402E-03,-5.2349744E+00,-1.8160370E-01
-9.970125E-03,-5.2331433E+00,-1.6451385E-01
-9.966848E-03,-5.2334485E+00,-1.4742401E-01
-9.963571E-03,-5.2352795E+00,-1.3025787E-01
-9.960294E-03,-5.2249036E+00,-1.1263397E-01
-9.957018E-03,-5.2245984E+00,-9.6612244E-02
