in s,C1 in V,C2 in V
-1.008395E-03,-5.1161414E+00,-3.6411835E-01
-1.005118E-03,-5.1094275E+00,-3.4855438E-01
-1.001842E-03,-5.1054602E+00,-3.3306671E-01
-9.985648E-04,-5.1030188E+00,-3.1704498E-01
-9.952880E-04,-5.1103430E+00,-3.0048920E-01
-9.920112E-04,-5.1118689E+00,-2.8431488E-01
-9.887344E-04,-5.1121741E+00,-2.6791168E-01
-9.854576E-04,-5.1112585E+00,-2.5143219E-01
-9.821808E-04,-5.1051550E+00,-2.3541046E-01
-9.789040E-04,-5.1100378E+00,-2.1938873E-01
-9.756272E-04,-5.1060706E+00,-2.0252777E-01
-9.723504E-04,-5.1079016E+00,-1.8597198E-01
-9.690736E-04,-5.1072913E+00,-1.6880585E-01
-9.657968E-04,-5.1109534E+00,-1.5217377E-01
-9.625200E-04,-5.1127844E+00,-1.3508392E-01
-9.592432E-04,-5.1167517E+00,-1.1845184E-01
-9.559664E-04,-5.1231604E+00,-1.0159088E-01
-9.526896E-04,-5.1237708E+00,-8.4195862E-02
-9.494128E-04,-5.1249915E+00,-6.6953430E-02
-9.461360E-04,-5.1225500E+00,-4.9710999E-02
-9.428592E-04,-5.1225500E+00,-3.2926331E-02
-9.395824E-04,-5.1289587E+00,-1.5683899E-02
-9.363056E-04,-5.1234656E+00,1.2533569E-03
-9.330288E-04,-5.1234656E+00,1.8724670E-02
-9.297520E-04,-5.1194983E+00,3.7035217E-02
-9.264752E-04,-5.1188879E+00,5.3896179E-02
-9.231984E-04,-5.1191931E+00,7.1443787E-02
-9.199216E-04,-5.1146155E+00,8.8686218E-02
-9.166448E-04,-5.1167517E+00,1.0600494E-01
-9.133680E-04,-5.1204138E+00,1.2355255E-01
-9.100912E-04,-5.1170569E+00,1.3995575E-01
-9.068144E-04,-5.1207190E+00,1.5681671E-01
-9.035376E-04,-5.1179724E+00,1.7405914E-01
-9.002608E-04,-5.1179724E+00,1.9046234E-01
-8.969840E-04,-5.1170569E+00,2.0755219E-01
-8.937072E-04,-5.1088171E+00,2.2441315E-01
-8.904304E-04,-5.1069861E+00,2.4173187E-01
-8.871536E-04,-5.1030188E+00,2.5790619E-01
-8.838768E-04,-5.1014929E+00,2.7491974E-01
-8.806000E-04,-5.1021033E+00,2.9109406E-01
-8.773232E-04,-5.0981360E+00,3.0787872E-01
-8.740464E-04,-5.1011877E+00,3.2397675E-01
-8.707696E-04,-5.0975256E+00,3.4083771E-01
-8.674928E-04,-5.1036292E+00,3.5640167E-01
-8.642160E-04,-5.1011877E+00,3.7280487E-01
-8.609392E-04,-5.1072913E+00,3.8791107E-01
-8.576624E-04,-5.1036292E+00,4.0370392E-01
-8.543856E-04,-5.1130896E+00,4.1827606E-01
-8.511088E-04,-5.1191931E+00,4.3483185E-01
-8.478320E-04,-5.1149207E+00,4.4948029E-01
-8.445552E-04,-5.1216345E+00,4.6458649E-01
-8.412784E-04,-5.1246863E+00,4.7885345E-01
-8.380016E-04,-5.1240759E+00,4.9319672E-01
-8.347248E-04,-5.1246863E+00,5.0761627E-01
-8.314480E-04,-5.1237708E+00,5.2279877E-01
-8.281712E-04,-5.1256018E+00,5.3653168E-01
-8.248944E-04,-5.1225500E+00,5.5095123E-01
-8.216176E-04,-5.1222449E+00,5.6369232E-01
-8.183408E-04,-5.1259070E+00,5.7795929E-01
-8.150640E-04,-5.1259070E+00,5.9001373E-01
-8.117872E-04,-5.1256018E+00,6.0275482E-01
-8.085104E-04,-5.1310950E+00,6.1541962E-01
-8.052336E-04,-5.1271277E+00,6.2739777E-01
-8.019568E-04,-5.1286536E+00,6.3914703E-01
-7.986800E-04,-5.1286536E+00,6.5127777E-01
-7.954032E-04,-5.1286536E+00,6.6241669E-01
-7.921264E-04,-5.1219397E+00,6.7462372E-01
-7.888496E-04,-5.1201086E+00,6.8492340E-01
-7.855728E-04,-5.1161414E+00,6.9598602E-01
-7.822960E-04,-5.1164465E+00,7.0659088E-01
-7.790192E-04,-5.1127844E+00,7.1742462E-01
-7.757424E-04,-5.1112585E+00,7.2673248E-01
-7.724656E-04,-5.1082068E+00,7.3748993E-01
-7.691888E-04,-5.1039343E+00,7.4542450E-01
-7.659120E-04,-5.1002722E+00,7.5526642E-01
-7.626352E-04,-5.1021033E+00,7.6266693E-01
-7.593584E-04,-5.1048499E+00,7.7197479E-01
-7.560816E-04,-5.1085120E+00,7.7937531E-01
-7.528048E-04,-5.1100378E+00,7.8845428E-01
-7.495280E-04,-5.1042395E+00,7.9501556E-01
-7.462512E-04,-5.1014929E+00,8.0233978E-01
-7.429744E-04,-5.1051550E+00,8.0867218E-01
-7.396976E-04,-5.1094275E+00,8.1561493E-01
-7.364208E-04,-5.1149207E+00,8.2080292E-01
-7.331440E-04,-5.1188879E+00,8.2774567E-01
-7.298672E-04,-5.1158362E+00,8.3194183E-01
-7.265904E-04,-5.1155310E+00,8.3812164E-01
-7.233136E-04,-5.1149207E+00,8.4239410E-01
-7.200368E-04,-5.1033240E+00,8.4796356E-01
-7.167600E-04,-5.1066809E+00,8.4994720E-01
-7.134832E-04,-5.1021033E+00,8.5437225E-01
-7.102064E-04,-5.1045447E+00,8.5727142E-01
-7.069296E-04,-5.1069861E+00,8.6207794E-01
-7.036528E-04,-5.1024084E+00,8.6329865E-01
-7.003760E-04,-5.0990515E+00,8.6657928E-01
-6.970992E-04,-5.0969153E+00,8.6734222E-01
-6.938224E-04,-5.0898962E+00,8.7077545E-01
-6.905456E-04,-5.0978308E+00,8.7031769E-01
-6.872688E-04,-5.0941687E+00,8.7275909E-01
-6.839920E-04,-5.0990515E+00,8.7153839E-01
-6.807152E-04,-5.0993567E+00,8.7329315E-01
-6.774384E-04,-5.0944739E+00,8.7138580E-01
-6.741616E-04,-5.0932532E+00,8.7184357E-01
-6.708848E-04,-5.0932532E+00,8.7047028E-01
-6.676080E-04,-5.0923376E+00,8.6978363E-01
-6.643312E-04,-5.0902014E+00,8.6772369E-01
-6.610544E-04,-5.0944739E+00,8.6650299E-01
-6.577776E-04,-5.0959998E+00,8.6306976E-01
-6.545008E-04,-5.0981360E+00,8.6108612E-01
-6.512240E-04,-5.0963049E+00,8.5719513E-01
-6.479472E-04,-5.0959998E+00,8.5498260E-01
-6.446704E-04,-5.0984412E+00,8.5017609E-01
-6.413936E-04,-5.1002722E+00,8.4712433E-01
-6.381168E-04,-5.1048499E+00,8.4155487E-01
-6.348400E-04,-5.1103430E+00,8.3735870E-01
-6.315632E-04,-5.1033240E+00,8.3163666E-01
