in s,C1 in V,C2 in V
7.880018E-02,-4.6989441E-02,-9.8601532E-01
7.880346E-02,-4.6531677E-02,-9.5198822E-01
7.880673E-02,-4.6302795E-02,-9.1635895E-01
7.881001E-02,-4.6684265E-02,-8.8011932E-01
7.881329E-02,-4.5845032E-02,-8.4479523E-01
7.881656E-02,-4.5768738E-02,-8.0802155E-01
7.881984E-02,-4.5997620E-02,-7.7017975E-01
7.882312E-02,-4.6073914E-02,-7.3294830E-01
7.882639E-02,-4.6073914E-02,-6.9472504E-01
7.882967E-02,-4.5158386E-02,-6.5612030E-01
7.883295E-02,-4.5463562E-02,-6.1621857E-01
7.883622E-02,-4.5768738E-02,-5.7616425E-01
7.883950E-02,-4.4929504E-02,-5.3618622E-01
7.884278E-02,-4.5387268E-02,-4.9491119E-01
7.884605E-02,-4.4929504E-02,-4.5378876E-01
7.884933E-02,-4.4853210E-02,-4.1228485E-01
7.885261E-02,-4.3861389E-02,-3.7139130E-01
7.885588E-02,-4.4166565E-02,-3.2889557E-01
7.885916E-02,-4.4853210E-02,-2.8716278E-01
7.886244E-02,-4.3479919E-02,-2.4520111E-01
7.886572E-02,-4.3022156E-02,-2.0209503E-01
7.886899E-02,-4.3022156E-02,-1.5891266E-01
7.887227E-02,-4.2564392E-02,-1.1573029E-01
7.887555E-02,-4.3022156E-02,-7.2853088E-02
7.887882E-02,-4.3022156E-02,-2.8526306E-02
7.888210E-02,-4.2793274E-02,1.5647888E-02
7.888538E-02,-4.3174744E-02,5.9364319E-02
7.888865E-02,-4.2716980E-02,1.0460663E-01
7.889193E-02,-4.2716980E-02,1.4923859E-01
7.889521E-02,-4.2640686E-02,1.9356537E-01
7.889848E-02,-4.3556213E-02,2.3834991E-01
7.890176E-02,-4.3403625E-02,2.8290558E-01
7.890504E-02,-4.3022156E-02,3.2875824E-01
7.890831E-02,-4.3098450E-02,3.7255096E-01
7.891159E-02,-4.3556213E-02,4.1825104E-01
7.891487E-02,-4.4624329E-02,4.6311188E-01
7.891814E-02,-4.4853210E-02,5.0812531E-01
7.892142E-02,-4.5997620E-02,5.5092621E-01
7.892470E-02,-4.6226501E-02,5.9563446E-01
7.892797E-02,-4.6531677E-02,6.4080048E-01
7.893125E-02,-4.6455383E-02,6.8558502E-01
7.893453E-02,-4.6607971E-02,7.2899628E-01
7.893780E-02,-4.7370911E-02,7.7393341E-01
7.894108E-02,-4.7752380E-02,8.1848907E-01
7.894436E-02,-4.8973083E-02,8.6350250E-01
7.894764E-02,-4.8439026E-02,9.0699005E-01
7.895091E-02,-4.9507141E-02,9.5276642E-01
7.895419E-02,-5.0575256E-02,9.9602509E-01
7.895747E-02,-5.1872253E-02,1.0398941E+00
7.896074E-02,-5.2177429E-02,1.0828476E+00
7.896402E-02,-5.3321838E-02,1.1258011E+00
7.896730E-02,-5.4771423E-02,1.1673813E+00
7.897057E-02,-5.5458069E-02,1.2102585E+00
7.897385E-02,-5.6526184E-02,1.2518387E+00
7.897713E-02,-5.7518005E-02,1.2940292E+00
7.898040E-02,-5.8433533E-02,1.3350754E+00
7.898368E-02,-5.9272766E-02,1.3763504E+00
7.898696E-02,-6.0874939E-02,1.4171677E+00
7.899023E-02,-6.1714172E-02,1.4572983E+00
7.899351E-02,-6.3087463E-02,1.4964371E+00
7.899679E-02,-6.4002991E-02,1.5349655E+00
7.900006E-02,-6.5147400E-02,1.5741806E+00
7.900334E-02,-6.7893982E-02,1.6124039E+00
7.900662E-02,-6.8809509E-02,1.6498642E+00
7.900989E-02,-7.0793152E-02,1.6876297E+00
7.901317E-02,-7.2853088E-02,1.7241745E+00
7.901645E-02,-7.4150085E-02,1.7611008E+00
7.901972E-02,-7.5752258E-02,1.7968826E+00
7.902300E-02,-7.8575134E-02,1.8325119E+00
7.902628E-02,-7.9719543E-02,1.8676834E+00
7.902956E-02,-8.1779480E-02,1.9014816E+00
7.903283E-02,-8.4526062E-02,1.9347458E+00
7.903611E-02,-8.5823059E-02,1.9673996E+00
7.903939E-02,-8.8417053E-02,2.0000534E+00
7.904266E-02,-9.0324402E-02,2.0326309E+00
7.904594E-02,-9.2765808E-02,2.0640640E+00
7.904922E-02,-9.4673157E-02,2.0949631E+00
7.905249E-02,-9.6961975E-02,2.1236496E+00
7.905577E-02,-9.9479675E-02,2.1525650E+00
7.905905E-02,-1.0276031E-01,2.1804123E+00
7.906232E-02,-1.0543060E-01,2.2081070E+00
7.906560E-02,-1.0787201E-01,2.2344284E+00
7.906888E-02,-1.1000824E-01,2.2605209E+00
7.907215E-02,-1.1283112E-01,2.2857742E+00
7.907543E-02,-1.1504364E-01,2.3104172E+00
7.907871E-02,-1.1771393E-01,2.3333054E+00
7.908198E-02,-1.2107086E-01,2.3555069E+00
7.908526E-02,-1.2351227E-01,2.3776321E+00
7.908854E-02,-1.2610626E-01,2.3992996E+00
