in s,C1 in V,C2 in V
2.1999616E-02,1.522064E-02,-7.530212E-01
2.2002912E-02,1.552582E-02,-7.637024E-01
2.2006208E-02,1.560211E-02,-7.667542E-01
2.2009504E-02,1.543427E-02,-7.637024E-01
2.2012800E-02,1.546478E-02,-7.682800E-01
2.2016096E-02,1.531219E-02,-7.652283E-01
2.2019392E-02,1.549530E-02,-7.682800E-01
2.2022688E-02,1.569366E-02,-7.698059E-01
2.2025984E-02,1.592255E-02,-7.774353E-01
2.2029280E-02,1.605988E-02,-7.835388E-01
2.2032576E-02,1.610565E-02,-7.820129E-01
2.2035872E-02,1.602936E-02,-7.850647E-01
2.2039168E-02,1.580048E-02,-7.820129E-01
2.2042464E-02,1.554108E-02,-7.835388E-01
2.2045760E-02,1.560211E-02,-7.942200E-01
2.2049056E-02,1.554108E-02,-8.049011E-01
2.2052352E-02,1.564789E-02,-8.003235E-01
2.2055648E-02,1.554108E-02,-7.896423E-01
2.2058944E-02,1.563263E-02,-7.926941E-01
2.2062240E-02,1.541901E-02,-7.896423E-01
2.2065536E-02,1.531219E-02,-7.942200E-01
2.2068832E-02,1.505280E-02,-8.018494E-01
2.2072128E-02,1.486969E-02,-8.125305E-01
2.2075424E-02,1.493073E-02,-8.064270E-01
2.2078720E-02,1.511383E-02,-8.216858E-01
2.2082016E-02,1.525116E-02,-8.125305E-01
2.2085312E-02,1.537323E-02,-8.262634E-01
2.2088608E-02,1.522064E-02,-8.293152E-01
2.2091904E-02,1.520538E-02,-8.232117E-01
2.2095200E-02,1.502228E-02,-8.323669E-01
2.2098496E-02,1.505280E-02,-8.201599E-01
2.2101792E-02,1.500702E-02,-8.338928E-01
2.2105088E-02,1.511383E-02,-8.216858E-01
2.2108384E-02,1.477814E-02,-8.323669E-01
2.2111680E-02,1.485443E-02,-8.369446E-01
2.2114976E-02,1.479340E-02,-8.354187E-01
2.2118272E-02,1.456451E-02,-8.476257E-01
2.2121568E-02,1.438141E-02,-8.460999E-01
2.2124864E-02,1.447296E-02,-8.537292E-01
2.2128160E-02,1.482391E-02,-8.506775E-01
2.2131456E-02,1.476288E-02,-8.491516E-01
2.2134752E-02,1.447296E-02,-8.522034E-01
2.2138048E-02,1.416779E-02,-8.644104E-01
2.2141344E-02,1.421356E-02,-8.674622E-01
2.2144640E-02,1.424408E-02,-8.766174E-01
2.2147936E-02,1.407623E-02,-8.857727E-01
2.2151232E-02,1.409149E-02,-8.842468E-01
2.2154528E-02,1.390839E-02,-8.827209E-01
2.2157824E-02,1.369476E-02,-8.811951E-01
2.2161120E-02,1.364899E-02,-8.888245E-01
2.2164416E-02,1.331329E-02,-8.872986E-01
2.2167712E-02,1.337433E-02,-8.857727E-01
2.2171008E-02,1.354218E-02,-8.781433E-01
2.2174304E-02,1.390839E-02,-8.720398E-01
2.2177600E-02,1.390839E-02,-8.842468E-01
2.2180896E-02,1.357269E-02,-8.827209E-01
2.2184192E-02,1.325226E-02,-8.888245E-01
2.2187488E-02,1.329803E-02,-8.964539E-01
2.2190784E-02,1.348114E-02,-8.964539E-01
2.2194080E-02,1.366425E-02,-8.964539E-01
2.2197376E-02,1.375580E-02,-8.872986E-01
2.2200672E-02,1.392365E-02,-8.949280E-01
2.2203968E-02,1.410675E-02,-8.995056E-01
2.2207264E-02,1.396942E-02,-9.056091E-01
2.2210560E-02,1.392365E-02,-9.071350E-01
2.2213856E-02,1.389313E-02,-9.025574E-01
2.2217152E-02,1.425934E-02,-9.040833E-01
2.2220448E-02,1.425934E-02,-9.086609E-01
2.2223744E-02,1.430511E-02,-9.117126E-01
2.2227040E-02,1.403046E-02,-9.254456E-01
2.2230336E-02,1.363373E-02,-9.391785E-01
2.2233632E-02,1.345062E-02,-9.422302E-01
2.2236928E-02,1.328278E-02,-9.483337E-01
2.2240224E-02,1.323700E-02,-9.590149E-01
2.2243520E-02,1.340485E-02,-9.666443E-01
2.2246816E-02,1.340485E-02,-9.666443E-01
2.2250112E-02,1.363373E-02,-9.742737E-01
2.2253408E-02,1.374054E-02,-9.727478E-01
2.2256704E-02,1.375580E-02,-9.773254E-01
2.2260000E-02,1.380157E-02,-9.864807E-01
2.2263296E-02,1.367950E-02,-9.849548E-01
2.2266592E-02,1.387787E-02,-9.834290E-01
2.2269888E-02,1.375580E-02,-9.819031E-01
2.2273184E-02,1.393890E-02,-9.925842E-01
2.2276480E-02,1.387787E-02,-9.910583E-01
2.2279776E-02,1.380157E-02,-1.007843E+00
2.2283072E-02,1.383209E-02,-1.004791E+00
2.2286368E-02,1.395416E-02,-1.004791E+00
2.2289664E-02,1.392365E-02,-1.004791E+00
2.2292960E-02,1.384735E-02,-9.971619E-01
2.2296256E-02,1.399994E-02,-1.001740E+00
2.2299552E-02,1.398468E-02,-1.003265E+00
2.2302848E-02,1.392365E-02,-1.012421E+00
2.2306144E-02,1.410675E-02,-1.018524E+00
2.2309440E-02,1.390839E-02,-1.033783E+00
