in s,C1 in V,C2 in V
7.940734E-02,2.4650574E-02,4.6196747E-01
7.941062E-02,1.5037537E-02,4.2694855E-01
7.941389E-02,5.1956177E-03,3.9101410E-01
7.941717E-02,-3.1204224E-03,3.5530853E-01
7.942045E-02,-1.1283875E-02,3.1952667E-01
7.942372E-02,-1.9294739E-02,2.8412628E-01
7.942700E-02,-2.7305603E-02,2.4781036E-01
7.943028E-02,-3.4248352E-02,2.1248627E-01
7.943356E-02,-4.3022156E-02,1.7700958E-01
7.943683E-02,-4.7828674E-02,1.4183807E-01
7.944011E-02,-5.3855896E-02,1.0651398E-01
7.944339E-02,-6.1485291E-02,7.1495056E-02
7.944666E-02,-6.7436218E-02,3.5560608E-02
7.944994E-02,-7.2547913E-02,1.6098022E-03
7.945322E-02,-7.8269958E-02,-3.3790588E-02
7.945649E-02,-8.3839417E-02,-6.8122864E-02
7.945977E-02,-8.8035583E-02,-1.0138702E-01
7.946305E-02,-9.2231750E-02,-1.3579559E-01
7.946632E-02,-9.7343445E-02,-1.6997528E-01
7.946960E-02,-9.9555969E-02,-2.0339203E-01
7.947288E-02,-1.0337067E-01,-2.3734283E-01
7.947615E-02,-1.0604095E-01,-2.7060699E-01
7.947943E-02,-1.0840607E-01,-3.0295563E-01
7.948271E-02,-1.1145782E-01,-3.3423615E-01
7.948598E-02,-1.1328888E-01,-3.6627960E-01
7.948926E-02,-1.1710358E-01,-3.9763641E-01
7.949254E-02,-1.1840057E-01,-4.2807770E-01
7.949581E-02,-1.2030792E-01,-4.5783234E-01
7.949909E-02,-1.2046051E-01,-4.8766327E-01
7.950237E-02,-1.2114716E-01,-5.1863861E-01
7.950564E-02,-1.2129974E-01,-5.4732513E-01
7.950892E-02,-1.2335968E-01,-5.7730865E-01
7.951220E-02,-1.2236786E-01,-6.0645294E-01
7.951548E-02,-1.2198639E-01,-6.3361359E-01
7.951875E-02,-1.2252045E-01,-6.6199493E-01
7.952203E-02,-1.2137604E-01,-6.8907928E-01
7.952531E-02,-1.2122345E-01,-7.1578217E-01
7.952858E-02,-1.2122345E-01,-7.4134064E-01
7.953186E-02,-1.1985016E-01,-7.6667023E-01
7.953514E-02,-1.1946869E-01,-7.9253387E-01
7.953841E-02,-1.1786652E-01,-8.1778717E-01
7.954169E-02,-1.1687469E-01,-8.4128571E-01
7.954497E-02,-1.1405182E-01,-8.6379242E-01
7.954824E-02,-1.1244965E-01,-8.8721466E-01
7.955152E-02,-1.1077118E-01,-9.1002655E-01
7.955480E-02,-1.0993195E-01,-9.3169403E-01
7.955807E-02,-1.0794830E-01,-9.5320892E-01
7.956135E-02,-1.0634613E-01,-9.7373199E-01
7.956463E-02,-1.0359955E-01,-9.9341583E-01
7.956790E-02,-1.0138702E-01,-1.0130234E+00
7.957118E-02,-9.9784851E-02,-1.0311813E+00
7.957446E-02,-9.7114563E-02,-1.0493393E+00
7.957773E-02,-9.5893860E-02,-1.0665817E+00
7.958101E-02,-9.3147278E-02,-1.0826797E+00
7.958429E-02,-9.1163635E-02,-1.0999222E+00
7.958756E-02,-8.8493347E-02,-1.1148758E+00
7.959084E-02,-8.6662292E-02,-1.1283798E+00
7.959412E-02,-8.5212708E-02,-1.1432571E+00
7.959740E-02,-8.2847595E-02,-1.1563797E+00
7.960067E-02,-8.2008362E-02,-1.1688919E+00
7.960395E-02,-8.0406189E-02,-1.1808701E+00
7.960723E-02,-7.7125549E-02,-1.1921616E+00
7.961050E-02,-7.6667786E-02,-1.2021561E+00
7.961378E-02,-7.3921204E-02,-1.2113876E+00
7.961706E-02,-7.2090149E-02,-1.2211533E+00
7.962033E-02,-7.2090149E-02,-1.2287064E+00
7.962361E-02,-7.0640564E-02,-1.2364120E+00
7.962689E-02,-6.9648743E-02,-1.2432022E+00
7.963016E-02,-6.7436218E-02,-1.2495346E+00
7.963344E-02,-6.6139221E-02,-1.2545700E+00
7.963672E-02,-6.4994812E-02,-1.2589188E+00
7.963999E-02,-6.5452576E-02,-1.2631149E+00
7.964327E-02,-6.3926697E-02,-1.2661667E+00
7.964655E-02,-6.4384460E-02,-1.2684555E+00
7.964982E-02,-6.2934875E-02,-1.2700577E+00
7.965310E-02,-6.2477112E-02,-1.2710495E+00
7.965638E-02,-6.2477112E-02,-1.2708206E+00
7.965965E-02,-6.3163757E-02,-1.2699051E+00
7.966293E-02,-6.2629700E-02,-1.2678452E+00
7.966621E-02,-6.4079285E-02,-1.2662430E+00
7.966948E-02,-6.5071106E-02,-1.2638779E+00
7.967276E-02,-6.5223694E-02,-1.2604446E+00
7.967604E-02,-6.5910339E-02,-1.2556381E+00
7.967932E-02,-6.6368103E-02,-1.2502975E+00
7.968259E-02,-6.7741394E-02,-1.2431259E+00
7.968587E-02,-6.7893982E-02,-1.2370224E+00
7.968915E-02,-6.9419861E-02,-1.2294693E+00
7.969242E-02,-7.0945740E-02,-1.2216110E+00
7.969570E-02,-7.2547913E-02,-1.2124557E+00
7.969898E-02,-7.3081970E-02,-1.2026138E+00
7.970225E-02,-7.5675964E-02,-1.1927719E+00
7.970553E-02,-7.7125549E-02,-1.1808701E+00
7.970881E-02,-7.8346252E-02,-1.1691208E+00
7.971208E-02,-8.0635071E-02,-1.1573715E+00
7.971536E-02,-8.3000183E-02,-1.1444778E+00
7.971864E-02,-8.5212708E-02,-1.1302109E+00
7.972191E-02,-8.7501526E-02,-1.1157150E+00
7.972519E-02,-8.9103699E-02,-1.1004562E+00
7.972847E-02,-9.2308044E-02,-1.0842056E+00
7.973174E-02,-9.4139099E-02,-1.0670395E+00
7.973502E-02,-9.6961975E-02,-1.0502548E+00
7.973830E-02,-9.9632263E-02,-1.0325546E+00
7.974157E-02,-1.0230255E-01,-1.0140152E+00
7.974485E-02,-1.0367584E-01,-9.9417877E-01
7.974813E-02,-1.0581207E-01,-9.7380829E-01
7.975140E-02,-1.0817719E-01,-9.5351410E-01
7.975468E-02,-1.1031342E-01,-9.3253326E-01
7.975796E-02,-1.1222076E-01,-9.1063690E-01
7.976124E-02,-1.1435699E-01,-8.8851166E-01
7.976451E-02,-1.1565399E-01,-8.6409760E-01
7.976779E-02,-1.1893463E-01,-8.4197235E-01
7.977107E-02,-1.2015533E-01,-8.1801605E-01
7.977434E-02,-1.2191010E-01,-7.9337311E-01
7.977762E-02,-1.2351227E-01,-7.6819611E-01
7.978090E-02,-1.2488556E-01,-7.4210358E-01
7.978417E-02,-1.2648773E-01,-7.1654510E-01
7.978745E-02,-1.2755585E-01,-6.8991852E-01
7.979073E-02,-1.2908173E-01,-6.6352081E-01
7.979400E-02,-1.2839508E-01,-6.3491058E-01
7.979728E-02,-1.3007355E-01,-6.0759735E-01
7.980056E-02,-1.3091278E-01,-5.7776642E-01
7.980383E-02,-1.3129425E-01,-5.4953766E-01
7.980711E-02,-1.3152313E-01,-5.2031708E-01
7.981039E-02,-1.3205719E-01,-4.9010468E-01
7.981366E-02,-1.3159943E-01,-4.6019745E-01
7.981694E-02,-1.3190460E-01,-4.2960358E-01
7.982022E-02,-1.3129425E-01,-3.9847565E-01
7.982349E-02,-1.2938690E-01,-3.6780548E-01
7.982677E-02,-1.2892914E-01,-3.3545685E-01
7.983005E-02,-1.2679291E-01,-3.0371857E-01
7.983332E-02,-1.2557220E-01,-2.7144623E-01
7.983660E-02,-1.2328339E-01,-2.3886871E-01
7.983988E-02,-1.2145233E-01,-2.0598602E-01
7.984316E-02,-1.1962128E-01,-1.7195892E-01
7.984643E-02,-1.1580658E-01,-1.3777924E-01
7.984971E-02,-1.1145782E-01,-1.0390472E-01
7.985299E-02,-1.0825348E-01,-7.0259094E-02
7.985626E-02,-1.0482025E-01,-3.5774231E-02
7.985954E-02,-9.9174500E-02,-1.4495850E-04
7.986282E-02,-9.5207214E-02,3.4645081E-02
7.986609E-02,-9.0019226E-02,6.9511414E-02
7.986937E-02,-8.4831238E-02,1.0498810E-01
7.987265E-02,-7.9566956E-02,1.4023590E-01
7.987592E-02,-7.3005676E-02,1.7609406E-01
7.987920E-02,-6.6596985E-02,2.1240997E-01
