in s,C1 in V,C2 in V
7.921939E-02,2.5260925E-02,1.9867783E+00
7.922267E-02,2.3582458E-02,1.9700699E+00
7.922594E-02,2.1369934E-02,1.9532852E+00
7.922922E-02,2.0072937E-02,1.9357376E+00
7.923250E-02,1.7784119E-02,1.9182663E+00
7.923577E-02,1.5571594E-02,1.9000320E+00
7.923905E-02,1.3587952E-02,1.8805771E+00
7.924233E-02,1.0993958E-02,1.8597488E+00
7.924560E-02,8.8577271E-03,1.8395309E+00
7.924888E-02,7.7133179E-03,1.8180161E+00
7.925216E-02,5.0430298E-03,1.7959671E+00
7.925543E-02,3.5171509E-03,1.7749100E+00
7.925871E-02,2.3727417E-03,1.7521744E+00
7.926199E-02,7.6293945E-06,1.7283707E+00
7.926526E-02,-1.8997192E-03,1.7042618E+00
7.926854E-02,-3.8833618E-03,1.6793137E+00
7.927182E-02,-5.0277710E-03,1.6546707E+00
7.927509E-02,-6.2484741E-03,1.6291885E+00
7.927837E-02,-8.2321167E-03,1.6029434E+00
7.928165E-02,-1.0139465E-02,1.5763168E+00
7.928492E-02,-1.1207581E-02,1.5483170E+00
7.928820E-02,-1.2809753E-02,1.5210800E+00
7.929148E-02,-1.4183044E-02,1.4937668E+00
7.929476E-02,-1.5937805E-02,1.4659958E+00
7.929803E-02,-1.7616272E-02,1.4370041E+00
7.930131E-02,-1.8608093E-02,1.4075546E+00
7.930459E-02,-1.9447327E-02,1.3779526E+00
7.930786E-02,-2.0439148E-02,1.3485031E+00
7.931114E-02,-2.1659851E-02,1.3184433E+00
7.931442E-02,-2.3185730E-02,1.2877731E+00
7.931769E-02,-2.4711609E-02,1.2565689E+00
7.932097E-02,-2.5321960E-02,1.2240677E+00
7.932425E-02,-2.6618958E-02,1.1929398E+00
7.932752E-02,-2.7763367E-02,1.1599045E+00
7.933080E-02,-2.8602600E-02,1.1287003E+00
7.933408E-02,-2.9518127E-02,1.0945969E+00
7.933735E-02,-2.9975891E-02,1.0614090E+00
7.934063E-02,-3.1044006E-02,1.0278397E+00
7.934391E-02,-3.2264709E-02,9.9343109E-01
7.934718E-02,-3.2264709E-02,9.5948029E-01
7.935046E-02,-3.3027649E-02,9.2491913E-01
7.935374E-02,-3.4400940E-02,8.9066315E-01
7.935701E-02,-3.5240173E-02,8.5617828E-01
7.936029E-02,-3.6384583E-02,8.2001495E-01
7.936357E-02,-3.6384583E-02,7.8583527E-01
7.936684E-02,-3.7834167E-02,7.5035858E-01
7.937012E-02,-3.8978577E-02,7.1450043E-01
7.937340E-02,-3.7834167E-02,6.7948151E-01
7.937668E-02,-3.8291931E-02,6.4461517E-01
7.937995E-02,-3.8978577E-02,6.0921478E-01
7.938323E-02,-3.8139343E-02,5.7709503E-01
7.938651E-02,-3.8749695E-02,5.4215240E-01
7.938978E-02,-3.9360046E-02,5.0606537E-01
7.939306E-02,-4.0275574E-02,4.7043610E-01
7.939634E-02,-3.9894104E-02,4.3526459E-01
7.939961E-02,-3.9741516E-02,3.9856720E-01
7.940289E-02,-4.0046692E-02,3.6293793E-01
7.940617E-02,-4.0199280E-02,3.2753754E-01
7.940944E-02,-4.0733337E-02,2.9251862E-01
7.941272E-02,-4.1114807E-02,2.5528717E-01
7.941600E-02,-4.1725159E-02,2.1958160E-01
7.941927E-02,-4.1877747E-02,1.8441010E-01
7.942255E-02,-4.1267395E-02,1.4801788E-01
7.942583E-02,-4.1343689E-02,1.1292267E-01
7.942910E-02,-4.1419983E-02,7.6301575E-02
7.943238E-02,-4.2259216E-02,4.0290833E-02
7.943566E-02,-4.1725159E-02,6.1874390E-03
7.943893E-02,-4.1038513E-02,-3.0052185E-02
7.944221E-02,-4.1648865E-02,-6.4231873E-02
7.944549E-02,-4.1648865E-02,-9.8487854E-02
7.944876E-02,-4.1648865E-02,-1.3343048E-01
7.945204E-02,-4.0885925E-02,-1.6852570E-01
7.945532E-02,-4.0657043E-02,-2.0217133E-01
7.945860E-02,-4.0275574E-02,-2.3535919E-01
7.946187E-02,-4.0122986E-02,-2.6900482E-01
7.946515E-02,-4.0504456E-02,-3.0287933E-01
7.946843E-02,-4.0046692E-02,-3.3515167E-01
7.947170E-02,-3.9817810E-02,-3.6803436E-01
7.947498E-02,-3.9970398E-02,-4.0015411E-01
7.947826E-02,-3.9588928E-02,-4.3242645E-01
7.948153E-02,-3.8978577E-02,-4.6363068E-01
7.948481E-02,-3.8902283E-02,-4.9491119E-01
7.948809E-02,-3.8520813E-02,-5.2466583E-01
7.949136E-02,-3.8825989E-02,-5.5464935E-01
7.949464E-02,-3.8368225E-02,-5.8524323E-01
7.949792E-02,-3.8291931E-02,-6.1507416E-01
7.950119E-02,-3.7681580E-02,-6.4337921E-01
7.950447E-02,-3.7834167E-02,-6.7259979E-01
7.950775E-02,-3.7910461E-02,-7.0105743E-01
7.951102E-02,-3.7605286E-02,-7.2737885E-01
7.951430E-02,-3.6460876E-02,-7.5514984E-01
7.951758E-02,-3.6155701E-02,-7.8276825E-01
7.952085E-02,-3.5774231E-02,-8.0939484E-01
7.952413E-02,-3.6460876E-02,-8.3609772E-01
7.952741E-02,-3.5545349E-02,-8.6051178E-01
7.953068E-02,-3.6003113E-02,-8.8622284E-01
7.953396E-02,-3.5697937E-02,-9.1048431E-01
7.953724E-02,-3.5392761E-02,-9.3444061E-01
7.954052E-02,-3.5697937E-02,-9.5748138E-01
7.954379E-02,-3.5011292E-02,-9.8014069E-01
7.954707E-02,-3.5469055E-02,-1.0025711E+00
7.955035E-02,-3.5087585E-02,-1.0238571E+00
7.955362E-02,-3.5316467E-02,-1.0439987E+00
7.955690E-02,-3.5011292E-02,-1.0638351E+00
7.956018E-02,-3.4248352E-02,-1.0819168E+00
7.956345E-02,-3.4477234E-02,-1.1022873E+00
7.956673E-02,-3.5316467E-02,-1.1196823E+00
7.957001E-02,-3.4095764E-02,-1.1374588E+00
7.957328E-02,-3.4172058E-02,-1.1534805E+00
7.957656E-02,-3.3943176E-02,-1.1689682E+00
7.957984E-02,-3.4400940E-02,-1.1852188E+00
7.958311E-02,-3.4477234E-02,-1.1995621E+00
7.958639E-02,-3.4095764E-02,-1.2140579E+00
7.958967E-02,-3.3409119E-02,-1.2276382E+00
7.959294E-02,-3.4172058E-02,-1.2405319E+00
7.959622E-02,-3.3866882E-02,-1.2525864E+00
7.959950E-02,-3.3866882E-02,-1.2637253E+00
7.960277E-02,-3.3638000E-02,-1.2741013E+00
7.960605E-02,-3.4172058E-02,-1.2846298E+00
7.960933E-02,-3.3714294E-02,-1.2926407E+00
7.961260E-02,-3.4400940E-02,-1.3008804E+00
7.961588E-02,-3.3790588E-02,-1.3080521E+00
7.961916E-02,-3.3790588E-02,-1.3153000E+00
7.962244E-02,-3.4095764E-02,-1.3210983E+00
7.962571E-02,-3.4248352E-02,-1.3276596E+00
7.962899E-02,-3.3714294E-02,-1.3324661E+00
7.963227E-02,-3.3866882E-02,-1.3364334E+00
7.963554E-02,-3.4172058E-02,-1.3393326E+00
7.963882E-02,-3.4934998E-02,-1.3419266E+00
7.964210E-02,-3.4553528E-02,-1.3431473E+00
7.964537E-02,-3.4400940E-02,-1.3434525E+00
7.964865E-02,-3.4324646E-02,-1.3450546E+00
7.965193E-02,-3.4629822E-02,-1.3432999E+00
7.965520E-02,-3.4172058E-02,-1.3421555E+00
7.965848E-02,-3.4706116E-02,-1.3410873E+00
7.966176E-02,-3.4782410E-02,-1.3371201E+00
7.966503E-02,-3.4248352E-02,-1.3336868E+00
7.966831E-02,-3.4782410E-02,-1.3302536E+00
7.967159E-02,-3.4553528E-02,-1.3243790E+00
7.967486E-02,-3.4248352E-02,-1.3191910E+00
7.967814E-02,-3.4477234E-02,-1.3124008E+00
7.968142E-02,-3.4858704E-02,-1.3053818E+00
7.968469E-02,-3.3790588E-02,-1.2968369E+00
7.968797E-02,-3.4248352E-02,-1.2877579E+00
7.969125E-02,-3.5392761E-02,-1.2780685E+00
7.969452E-02,-3.4782410E-02,-1.2679977E+00
7.969780E-02,-3.4324646E-02,-1.2568588E+00
7.970108E-02,-3.4248352E-02,-1.2448807E+00
7.970436E-02,-3.4095764E-02,-1.2332077E+00
7.970763E-02,-3.4477234E-02,-1.2195511E+00
7.971091E-02,-3.3866882E-02,-1.2050552E+00
7.971419E-02,-3.4019470E-02,-1.1907120E+00
7.971746E-02,-3.3332825E-02,-1.1753769E+00
7.972074E-02,-3.4172058E-02,-1.1591263E+00
7.972402E-02,-3.3638000E-02,-1.1424942E+00
7.972729E-02,-3.3180237E-02,-1.1250992E+00
7.973057E-02,-3.3027649E-02,-1.1077042E+00
7.973385E-02,-3.3256531E-02,-1.0877914E+00
7.973712E-02,-3.3027649E-02,-1.0687943E+00
7.974040E-02,-3.2417297E-02,-1.0490341E+00
7.974368E-02,-3.2264709E-02,-1.0292740E+00
7.974695E-02,-3.2417297E-02,-1.0076065E+00
7.975023E-02,-3.1883240E-02,-9.8639679E-01
7.975351E-02,-3.1730652E-02,-9.6274567E-01
7.975678E-02,-3.2035828E-02,-9.3978119E-01
7.976006E-02,-3.2188416E-02,-9.1658783E-01
7.976334E-02,-3.2798767E-02,-8.9225006E-01
7.976661E-02,-3.2188416E-02,-8.6730194E-01
7.976989E-02,-3.1730652E-02,-8.4189606E-01
7.977317E-02,-3.1578064E-02,-8.1748199E-01
7.977644E-02,-3.1730652E-02,-7.9123688E-01
7.977972E-02,-3.1349182E-02,-7.6361847E-01
7.978300E-02,-3.0433655E-02,-7.3622894E-01
7.978628E-02,-3.0357361E-02,-7.0792389E-01
7.978955E-02,-3.0281067E-02,-6.8007660E-01
7.979283E-02,-3.0128479E-02,-6.5200043E-01
7.979611E-02,-2.9212952E-02,-6.2285614E-01
7.979938E-02,-2.9670715E-02,-5.9256744E-01
7.980266E-02,-2.8984070E-02,-5.6281281E-01
7.980594E-02,-2.8297424E-02,-5.3282928E-01
7.980921E-02,-2.7992249E-02,-5.0162506E-01
