in s,C1 in V,C2 in V
-1.008397E-03,3.587811E-02,-3.6196259E-01
-1.005120E-03,3.610699E-02,-3.4670380E-01
-1.001843E-03,3.519147E-02,-3.3182648E-01
-9.985664E-04,3.645795E-02,-3.1496552E-01
-9.952896E-04,3.467267E-02,-3.0008820E-01
-9.920128E-04,3.564923E-02,-2.8261688E-01
-9.887360E-04,3.365033E-02,-2.6636627E-01
-9.854592E-04,3.395551E-02,-2.4988678E-01
-9.821824E-04,3.200238E-02,-2.3447540E-01
-9.789056E-04,3.256696E-02,-2.1723297E-01
-9.756288E-04,3.078168E-02,-2.0128754E-01
-9.723520E-04,3.178876E-02,-1.8412140E-01
-9.690752E-04,2.881329E-02,-1.6802338E-01
-9.657984E-04,2.892010E-02,-1.4986542E-01
-9.625216E-04,2.620404E-02,-1.3300446E-01
-9.592448E-04,2.649396E-02,-1.1568573E-01
-9.559680E-04,2.330487E-02,-1.0042694E-01
-9.526912E-04,2.377789E-02,-8.2650452E-02
-9.494144E-04,2.139752E-02,-6.4797668E-02
-9.461376E-04,2.031415E-02,-4.6334534E-02
-9.428608E-04,1.721661E-02,-3.0236511E-02
-9.395840E-04,1.659100E-02,-1.1773376E-02
-9.363072E-04,1.312726E-02,4.4009399E-03
-9.330304E-04,1.329510E-02,2.3627014E-02
-9.297536E-04,9.297302E-03,3.9572449E-02
-9.264768E-04,8.183411E-03,5.8264465E-02
-9.232000E-04,3.498962E-03,7.3981018E-02
-9.199232E-04,3.559998E-03,9.3054504E-02
-9.166464E-04,-2.116272E-03,1.0907623E-01
-9.133696E-04,-2.360413E-03,1.2746307E-01
-9.100928E-04,-7.624695E-03,1.4371368E-01
-9.068160E-04,-7.807800E-03,1.6171906E-01
-9.035392E-04,-1.252277E-02,1.7804596E-01
-9.002624E-04,-1.423175E-02,1.9681427E-01
-8.969856E-04,-1.996906E-02,2.1237823E-01
-8.937088E-04,-2.123553E-02,2.2954437E-01
-8.904320E-04,-2.682025E-02,2.4541351E-01
-8.871552E-04,-2.788837E-02,2.6349518E-01
-8.838784E-04,-3.371722E-02,2.7883026E-01
-8.806016E-04,-3.545673E-02,2.9744598E-01
-8.773248E-04,-4.146869E-02,3.1331512E-01
-8.740480E-04,-4.258258E-02,3.3040497E-01
-8.707712E-04,-4.879291E-02,3.4520599E-01
-8.674944E-04,-5.059344E-02,3.6397430E-01
-8.642176E-04,-5.608661E-02,3.7831757E-01
-8.609408E-04,-5.945880E-02,3.9517853E-01
-8.576640E-04,-6.515033E-02,4.0944550E-01
-8.543872E-04,-6.754596E-02,4.2623016E-01
-8.511104E-04,-7.404620E-02,4.4080231E-01
-8.478336E-04,-7.624347E-02,4.5735809E-01
-8.445568E-04,-8.240802E-02,4.7109100E-01
-8.412800E-04,-8.491046E-02,4.8612091E-01
-8.380032E-04,-9.112079E-02,5.0046417E-01
-8.347264E-04,-9.434039E-02,5.1518890E-01
-8.314496E-04,-1.004897E-01,5.2899811E-01
-8.281728E-04,-1.040602E-01,5.4341766E-01
-8.248960E-04,-1.098433E-01,5.5722687E-01
-8.216192E-04,-1.130477E-01,5.7057831E-01
-8.183424E-04,-1.190901E-01,5.8316681E-01
-8.150656E-04,-1.220046E-01,5.9636566E-01
-8.117888E-04,-1.279250E-01,6.0956451E-01
-8.085120E-04,-1.313582E-01,6.2184784E-01
-8.052352E-04,-1.372481E-01,6.3397858E-01
-8.019584E-04,-1.410781E-01,6.4649078E-01
-7.986816E-04,-1.465865E-01,6.5694305E-01
-7.954048E-04,-1.509658E-01,6.6968414E-01
-7.921280E-04,-1.562758E-01,6.8120453E-01
-7.888512E-04,-1.600905E-01,6.9280121E-01
-7.855744E-04,-1.648970E-01,7.0279572E-01
-7.822976E-04,-1.686965E-01,7.1439240E-01
-7.790208E-04,-1.739302E-01,7.2347137E-01
-7.757440E-04,-1.780806E-01,7.3415253E-01
-7.724672E-04,-1.831008E-01,7.4376556E-01
-7.691904E-04,-1.862593E-01,7.5376007E-01
-7.659136E-04,-1.914168E-01,7.6268646E-01
-7.626368E-04,-1.952620E-01,7.7168915E-01
-7.593600E-04,-1.991378E-01,7.7947113E-01
-7.560832E-04,-2.025405E-01,7.8763458E-01
-7.528064E-04,-2.077285E-01,7.9526398E-01
-7.495296E-04,-2.111464E-01,8.0235931E-01
-7.462528E-04,-2.151290E-01,8.1006500E-01
-7.429760E-04,-2.182112E-01,8.1700775E-01
-7.396992E-04,-2.218123E-01,8.2395050E-01
-7.364224E-04,-2.256118E-01,8.3112213E-01
-7.331456E-04,-2.293349E-01,8.3676788E-01
-7.298688E-04,-2.320204E-01,8.4210846E-01
-7.265920E-04,-2.353316E-01,8.4752533E-01
-7.233152E-04,-2.384902E-01,8.5225555E-01
-7.200384E-04,-2.412825E-01,8.5698578E-01
-7.167616E-04,-2.444564E-01,8.5980865E-01
-7.134848E-04,-2.472945E-01,8.6385223E-01
-7.102080E-04,-2.502700E-01,8.6835358E-01
-7.069312E-04,-2.524672E-01,8.7079498E-01
-7.036544E-04,-2.544051E-01,8.7377045E-01
-7.003776E-04,-2.572585E-01,8.7583038E-01
-6.971008E-04,-2.590743E-01,8.7743256E-01
-6.938240E-04,-2.610884E-01,8.7972137E-01
