in s,C1 in V,C2 in V
7.919232E-03,-8.8697205E-02,-8.8253571E-01
7.922509E-03,-8.9689026E-02,-8.5255219E-01
7.925786E-03,-8.8926086E-02,-8.2241608E-01
7.929062E-03,-8.9917908E-02,-7.9182220E-01
7.932339E-03,-9.0146790E-02,-7.6199127E-01
7.935616E-03,-8.9917908E-02,-7.2979523E-01
7.938893E-03,-8.7857971E-02,-6.9790436E-01
7.942170E-03,-8.7781677E-02,-6.6639496E-01
7.945446E-03,-8.5416565E-02,-6.3389374E-01
7.948723E-03,-8.5035095E-02,-6.0146881E-01
7.952000E-03,-8.2212219E-02,-5.7034088E-01
7.955277E-03,-7.9084167E-02,-5.3738190E-01
7.958554E-03,-7.7787170E-02,-5.0388885E-01
7.961830E-03,-7.5345764E-02,-4.6955658E-01
7.965107E-03,-7.1073303E-02,-4.3568207E-01
7.968384E-03,-6.8326721E-02,-4.0249420E-01
7.971661E-03,-6.4130554E-02,-3.6808563E-01
7.974938E-03,-6.2146912E-02,-3.3428741E-01
7.978214E-03,-5.6958923E-02,-2.9911591E-01
7.981491E-03,-5.1618347E-02,-2.6485992E-01
7.984768E-03,-4.7422180E-02,-2.3068024E-01
7.988045E-03,-4.2234192E-02,-1.9497467E-01
7.991322E-03,-3.6283264E-02,-1.6048981E-01
7.994598E-03,-3.1781921E-02,-1.2585236E-01
7.997875E-03,-2.4991760E-02,-9.1596375E-02
8.001152E-03,-1.9040833E-02,-5.6119690E-02
8.004429E-03,-1.3242493E-02,-2.2245178E-02
8.007706E-03,-5.6130981E-03,1.2392273E-02
8.010982E-03,1.4822388E-03,4.7334900E-02
8.014259E-03,1.0103455E-02,8.2124939E-02
8.017536E-03,1.6664734E-02,1.1691498E-01
8.020813E-03,2.5743713E-02,1.5147614E-01
8.024090E-03,3.3678284E-02,1.8588470E-01
8.027366E-03,4.1994324E-02,2.1983551E-01
8.030643E-03,5.0615540E-02,2.5424408E-01
8.033920E-03,5.9236755E-02,2.8834747E-01
8.037197E-03,6.8926086E-02,3.2252716E-01
8.040474E-03,7.8386536E-02,3.5769867E-01
8.043750E-03,8.8457336E-02,3.9096283E-01
8.047027E-03,1.0020660E-01,4.2575287E-01
8.050304E-03,1.1020111E-01,4.5955109E-01
8.053581E-03,1.2118744E-01,4.9411224E-01
8.056858E-03,1.3102936E-01,5.2646088E-01
8.060134E-03,1.4171051E-01,5.6041168E-01
8.063411E-03,1.5124725E-01,5.9230255E-01
8.066688E-03,1.6292023E-01,6.2533783E-01
8.069965E-03,1.7321991E-01,6.5761017E-01
8.073242E-03,1.8504547E-01,6.9011139E-01
8.076518E-03,1.9519257E-01,7.2200226E-01
8.079795E-03,2.0831512E-01,7.5381683E-01
8.083072E-03,2.1747040E-01,7.8540253E-01
8.086349E-03,2.3021149E-01,8.1645416E-01
8.089626E-03,2.4112152E-01,8.4704803E-01
8.092902E-03,2.5416779E-01,8.7756561E-01
8.096179E-03,2.6355194E-01,9.0625214E-01
8.099456E-03,2.7629303E-01,9.3570160E-01
8.102733E-03,2.8644012E-01,9.6522736E-01
8.106010E-03,2.9864716E-01,9.9414276E-01
8.109286E-03,3.0955719E-01,1.0222189E+00
8.112563E-03,3.2237457E-01,1.0500662E+00
8.115840E-03,3.3221649E-01,1.0765402E+00
8.119117E-03,3.4495758E-01,1.1043875E+00
8.122394E-03,3.5449432E-01,1.1305563E+00
8.125670E-03,3.6693024E-01,1.1577933E+00
8.128947E-03,3.7669586E-01,1.1816733E+00
8.132224E-03,3.8745331E-01,1.2079184E+00
8.135501E-03,3.9760040E-01,1.2317984E+00
8.138778E-03,4.0873932E-01,1.2568991E+00
8.142054E-03,4.1781830E-01,1.2803976E+00
8.145331E-03,4.2880463E-01,1.3032858E+00
8.148608E-03,4.3696808E-01,1.3248007E+00
8.151885E-03,4.4825958E-01,1.3473837E+00
8.155162E-03,4.5459198E-01,1.3689749E+00
8.158438E-03,4.6534943E-01,1.3901083E+00
8.161715E-03,4.7191071E-01,1.4090292E+00
8.164992E-03,4.8251556E-01,1.4293997E+00
8.168269E-03,4.8823761E-01,1.4476340E+00
8.171546E-03,4.9876617E-01,1.4667838E+00
8.174822E-03,5.0319122E-01,1.4844077E+00
8.178099E-03,5.1280426E-01,1.5028708E+00
8.181376E-03,5.1776337E-01,1.5183585E+00
8.184653E-03,5.2592682E-01,1.5362875E+00
8.187930E-03,5.2936005E-01,1.5503256E+00
8.191206E-03,5.3561615E-01,1.5660422E+00
8.194483E-03,5.3866791E-01,1.5793936E+00
8.197760E-03,5.4629730E-01,1.5943472E+00
8.201037E-03,5.4721283E-01,1.6050284E+00
8.204314E-03,5.5316376E-01,1.6181509E+00
8.207590E-03,5.5453705E-01,1.6288321E+00
8.210867E-03,5.5873322E-01,1.6401999E+00
8.214144E-03,5.5957245E-01,1.6495840E+00
8.217421E-03,5.6353973E-01,1.6603415E+00
8.220698E-03,5.6308197E-01,1.6681998E+00
8.223974E-03,5.6613373E-01,1.6770499E+00
8.227251E-03,5.6491302E-01,1.6839163E+00
8.230528E-03,5.6651520E-01,1.6900961E+00
8.233805E-03,5.6529449E-01,1.6954367E+00
8.237082E-03,5.6567596E-01,1.7011588E+00
8.240358E-03,5.6338715E-01,1.7052786E+00
8.243635E-03,5.6231903E-01,1.7093985E+00
