in s,C1 in V,C2 in V
-1.054332E-02,1.5464966E-02,5.8567047E-01
-1.054004E-02,1.3969604E-02,5.7338715E-01
-1.053676E-02,1.4579956E-02,5.5896759E-01
-1.053348E-02,1.4213745E-02,5.4576874E-01
-1.053021E-02,1.5373413E-02,5.3150177E-01
-1.052693E-02,1.4061157E-02,5.1815033E-01
-1.052365E-02,1.4793579E-02,5.0334930E-01
-1.052038E-02,1.3603394E-02,4.8877716E-01
-1.051710E-02,1.4854614E-02,4.7359467E-01
-1.051382E-02,1.3847534E-02,4.6039581E-01
-1.051055E-02,1.5526001E-02,4.4483185E-01
-1.050727E-02,1.4946167E-02,4.2934418E-01
-1.050399E-02,1.5983765E-02,4.1385651E-01
-1.050072E-02,1.4488403E-02,3.9905548E-01
-1.049744E-02,1.4305298E-02,3.8288116E-01
-1.049416E-02,1.2504761E-02,3.6678314E-01
-1.049089E-02,1.3664429E-02,3.5045624E-01
-1.048761E-02,1.3420288E-02,3.3535004E-01
-1.048433E-02,1.4610474E-02,3.1841278E-01
-1.048106E-02,1.2809937E-02,3.0185699E-01
-1.047778E-02,1.3450806E-02,2.8621674E-01
-1.047450E-02,1.2291138E-02,2.6897430E-01
-1.047123E-02,1.3023560E-02,2.5279999E-01
-1.046795E-02,1.2382690E-02,2.3662567E-01
-1.046467E-02,1.3603394E-02,2.1991730E-01
-1.046140E-02,1.3359253E-02,2.0298004E-01
-1.045812E-02,1.5220825E-02,1.8680573E-01
-1.045484E-02,1.3878052E-02,1.6925812E-01
-1.045156E-02,1.4610474E-02,1.5293121E-01
-1.044829E-02,1.3206665E-02,1.3507843E-01
-1.044501E-02,1.4244263E-02,1.1791229E-01
-1.044173E-02,1.3420288E-02,1.0036469E-01
-1.043846E-02,1.4702026E-02,8.2969666E-02
-1.043518E-02,1.3420288E-02,6.5345764E-02
-1.043190E-02,1.4274780E-02,4.8408508E-02
-1.042863E-02,1.2291138E-02,3.0174255E-02
-1.042535E-02,1.3298218E-02,1.3465881E-02
-1.042207E-02,1.1741821E-02,-4.3869019E-03
-1.041880E-02,1.2626831E-02,-2.0866394E-02
-1.041552E-02,1.1253540E-02,-3.9100647E-02
-1.041224E-02,1.2993042E-02,-5.6266785E-02
-1.040897E-02,1.1802856E-02,-7.3432922E-02
-1.040569E-02,1.3267700E-02,-8.8920593E-02
-1.040241E-02,1.2077515E-02,-1.0684967E-01
-1.039914E-02,1.3023560E-02,-1.2363434E-01
-1.039586E-02,1.1406128E-02,-1.4110565E-01
-1.039258E-02,1.2809937E-02,-1.5659332E-01
-1.038931E-02,1.1985962E-02,-1.7421722E-01
-1.038603E-02,1.3786499E-02,-1.8993378E-01
-1.038275E-02,1.1833374E-02,-2.0778656E-01
-1.037948E-02,1.2718384E-02,-2.2403717E-01
-1.037620E-02,1.0978882E-02,-2.4181366E-01
-1.037292E-02,1.1894409E-02,-2.5737762E-01
-1.036964E-02,1.0338013E-02,-2.7439117E-01
-1.036637E-02,1.1314575E-02,-2.8926849E-01
-1.036309E-02,9.8192139E-03,-3.0673981E-01
-1.035981E-02,1.0948364E-02,-3.2161713E-01
-1.035654E-02,9.4224854E-03,-3.3908844E-01
-1.035326E-02,1.0185425E-02,-3.5343170E-01
-1.034998E-02,8.9036865E-03,-3.7006378E-01
-1.034671E-02,1.0521118E-02,-3.8394928E-01
-1.034343E-02,1.0093872E-02,-4.0027618E-01
-1.034015E-02,1.1833374E-02,-4.1400909E-01
-1.033688E-02,1.0246460E-02,-4.3003082E-01
-1.033360E-02,1.1131470E-02,-4.4284821E-01
-1.033032E-02,9.4224854E-03,-4.5841217E-01
-1.032705E-02,1.0612671E-02,-4.7084808E-01
-1.032377E-02,8.9647217E-03,-4.8572540E-01
-1.032049E-02,1.0612671E-02,-4.9854279E-01
-1.031722E-02,9.2698975E-03,-5.1441193E-01
-1.031394E-02,1.0887329E-02,-5.2577972E-01
-1.031066E-02,9.2393799E-03,-5.3989410E-01
-1.030739E-02,1.0002319E-02,-5.5049896E-01
-1.030411E-02,8.5069580E-03,-5.6629181E-01
-1.030083E-02,9.1173096E-03,-5.7590485E-01
-1.029756E-02,8.5374756E-03,-5.8963776E-01
-1.029428E-02,1.0032837E-02,-5.9963226E-01
-1.029100E-02,8.1712646E-03,-6.1275482E-01
-1.028772E-02,9.7886963E-03,-6.2221527E-01
-1.028445E-02,8.0491943E-03,-6.3434601E-01
-1.028117E-02,9.1783447E-03,-6.4411163E-01
-1.027789E-02,7.8050537E-03,-6.5616608E-01
-1.027462E-02,8.8731689E-03,-6.6463470E-01
-1.027134E-02,7.1641846E-03,-6.7600250E-01
-1.026806E-02,8.4764404E-03,-6.8355560E-01
-1.026479E-02,7.0115967E-03,-6.9408417E-01
-1.026151E-02,7.4083252E-03,-7.0163727E-01
-1.025823E-02,5.8214111E-03,-7.1170807E-01
-1.025496E-02,6.3707275E-03,-7.1804047E-01
-1.025168E-02,4.9974365E-03,-7.2826385E-01
-1.024840E-02,5.9739990E-03,-7.3413849E-01
-1.024513E-02,4.9974365E-03,-7.4344635E-01
-1.024185E-02,6.1876221E-03,-7.4855804E-01
-1.023857E-02,5.3331299E-03,-7.5656891E-01
-1.023530E-02,6.2791748E-03,-7.6198578E-01
-1.023202E-02,4.6312256E-03,-7.6915741E-01
-1.022874E-02,5.1500244E-03,-7.7259064E-01
-1.022547E-02,4.4176025E-03,-7.7938080E-01
-1.022219E-02,5.5467529E-03,-7.8342438E-01
-1.021891E-02,5.1805420E-03,-7.8861237E-01
-1.021564E-02,4.9974365E-03,-7.9189301E-01
-1.021236E-02,4.3870850E-03,-7.9631805E-01
-1.020908E-02,4.3260498E-03,-7.9921722E-01
-1.020580E-02,3.1663818E-03,-8.0310822E-01
-1.020253E-02,3.3189697E-03,-8.0463409E-01
-1.019925E-02,2.8917236E-03,-8.0844879E-01
-1.019597E-02,3.3189697E-03,-8.1005096E-01
-1.019270E-02,2.7696533E-03,-8.1295013E-01
-1.018942E-02,2.6475830E-03,-8.1295013E-01
-1.018614E-02,2.2508545E-03,-8.1546783E-01
-1.018287E-02,2.4339600E-03,-8.1417084E-01
-1.017959E-02,1.5184326E-03,-8.1531525E-01
-1.017631E-02,2.5255127E-03,-8.1455231E-01
-1.017304E-02,2.5255127E-03,-8.1485748E-01
-1.016976E-02,3.0137939E-03,-8.1333160E-01
-1.016648E-02,2.8917236E-03,-8.1272125E-01
