in s,C1 in V,C2 in V
7.773018E-02,-1.2427521E-01,-1.6116257E+00
7.773346E-02,-1.2442780E-01,-1.5947647E+00
7.773673E-02,-1.2473297E-01,-1.5769882E+00
7.774001E-02,-1.2465668E-01,-1.5583725E+00
7.774329E-02,-1.2488556E-01,-1.5395279E+00
7.774656E-02,-1.2488556E-01,-1.5190048E+00
7.774984E-02,-1.2519073E-01,-1.4985580E+00
7.775312E-02,-1.2534332E-01,-1.4755173E+00
7.775639E-02,-1.2541962E-01,-1.4532394E+00
7.775967E-02,-1.2526703E-01,-1.4293594E+00
7.776295E-02,-1.2480927E-01,-1.4047165E+00
7.776622E-02,-1.2526703E-01,-1.3794632E+00
7.776950E-02,-1.2572479E-01,-1.3539047E+00
7.777278E-02,-1.2587738E-01,-1.3266678E+00
7.777605E-02,-1.2641144E-01,-1.2995071E+00
7.777933E-02,-1.2564850E-01,-1.2708206E+00
7.778261E-02,-1.2610626E-01,-1.2408371E+00
7.778588E-02,-1.2572479E-01,-1.2110062E+00
7.778916E-02,-1.2602997E-01,-1.1806412E+00
7.779244E-02,-1.2534332E-01,-1.1493607E+00
7.779572E-02,-1.2557220E-01,-1.1176224E+00
7.779899E-02,-1.2541962E-01,-1.0848923E+00
7.780227E-02,-1.2564850E-01,-1.0507126E+00
7.780555E-02,-1.2534332E-01,-1.0166855E+00
7.780882E-02,-1.2496185E-01,-9.8143768E-01
7.781210E-02,-1.2519073E-01,-9.4695282E-01
7.781538E-02,-1.2519073E-01,-9.1117096E-01
7.781865E-02,-1.2442780E-01,-8.7424469E-01
7.782193E-02,-1.2496185E-01,-8.3724213E-01
7.782521E-02,-1.2488556E-01,-8.0008698E-01
7.782848E-02,-1.2534332E-01,-7.6201630E-01
7.783176E-02,-1.2435150E-01,-7.2348785E-01
7.783504E-02,-1.2442780E-01,-6.8457794E-01
7.783831E-02,-1.2427521E-01,-6.4536285E-01
7.784159E-02,-1.2427521E-01,-6.0591888E-01
