in s,C2 in V
-1.2149658E-01,2.52805E+00
-1.2149197E-01,2.52805E+00
-1.2148736E-01,2.50852E+00
-1.2148275E-01,2.48898E+00
-1.2147814E-01,2.54758E+00
-1.2147354E-01,2.52805E+00
-1.2146893E-01,2.60617E+00
-1.2146432E-01,2.52805E+00
-1.2145971E-01,2.48898E+00
-1.2145510E-01,2.48898E+00
-1.2145050E-01,2.48898E+00
-1.2144589E-01,2.58664E+00
-1.2144128E-01,2.48898E+00
-1.2143667E-01,2.54758E+00
-1.2143206E-01,2.52805E+00
-1.2142746E-01,2.60617E+00
-1.2142285E-01,2.46945E+00
-1.2141824E-01,2.56711E+00
-1.2141363E-01,2.50852E+00
-1.2140902E-01,2.54758E+00
-1.2140442E-01,2.50852E+00
-1.2139981E-01,2.48898E+00
-1.2139520E-01,2.48898E+00
-1.2139059E-01,2.52805E+00
-1.2138598E-01,2.52805E+00
-1.2138138E-01,2.50852E+00
-1.2137677E-01,2.54758E+00
-1.2137216E-01,2.54758E+00
-1.2136755E-01,2.56711E+00
-1.2136294E-01,2.58664E+00
-1.2135834E-01,2.48898E+00
-1.2135373E-01,2.54758E+00
-1.2134912E-01,2.56711E+00
-1.2134451E-01,2.48898E+00
-1.2133990E-01,2.52805E+00
-1.2133530E-01,2.56711E+00
-1.2133069E-01,2.50852E+00
-1.2132608E-01,2.58664E+00
-1.2132147E-01,2.48898E+00
-1.2131686E-01,2.64523E+00
-1.2131226E-01,2.52805E+00
-1.2130765E-01,2.48898E+00
-1.2130304E-01,2.54758E+00
-1.2129843E-01,2.54758E+00
-1.2129382E-01,2.52805E+00
-1.2128922E-01,2.56711E+00
-1.2128461E-01,2.48898E+00
-1.2128000E-01,2.48898E+00
-1.2127539E-01,2.52805E+00
-1.2127078E-01,2.52805E+00
-1.2126618E-01,2.46945E+00
-1.2126157E-01,2.52805E+00
-1.2125696E-01,2.46945E+00
-1.2125235E-01,2.54758E+00
-1.2124774E-01,2.52805E+00
-1.2124314E-01,2.56711E+00
-1.2123853E-01,2.52805E+00
-1.2123392E-01,2.50852E+00
-1.2122931E-01,2.54758E+00
-1.2122470E-01,2.48898E+00
-1.2122010E-01,2.54758E+00
-1.2121549E-01,2.50852E+00
-1.2121088E-01,2.52805E+00
-1.2120627E-01,2.58664E+00
-1.2120166E-01,2.56711E+00
-1.2119706E-01,2.46945E+00
-1.2119245E-01,2.58664E+00
-1.2118784E-01,2.50852E+00
-1.2118323E-01,2.48898E+00
-1.2117862E-01,2.52805E+00
-1.2117402E-01,2.56711E+00
-1.2116941E-01,2.52805E+00
-1.2116480E-01,2.46945E+00
-1.2116019E-01,2.56711E+00
-1.2115558E-01,2.56711E+00
-1.2115098E-01,2.46945E+00
-1.2114637E-01,2.50852E+00
-1.2114176E-01,2.52805E+00
-1.2113715E-01,2.44992E+00
-1.2113254E-01,2.58664E+00
-1.2112794E-01,2.50852E+00
-1.2112333E-01,2.50852E+00
-1.2111872E-01,2.54758E+00
-1.2111411E-01,2.48898E+00
-1.2110950E-01,2.50852E+00
-1.2110490E-01,2.46945E+00
-1.2110029E-01,2.46945E+00
-1.2109568E-01,2.50852E+00
-1.2109107E-01,2.43039E+00
-1.2108646E-01,2.44992E+00
-1.2108186E-01,2.43039E+00
-1.2107725E-01,2.54758E+00
-1.2107264E-01,2.41086E+00
-1.2106803E-01,2.44992E+00
-1.2106342E-01,2.48898E+00
-1.2105882E-01,2.44992E+00
-1.2105421E-01,2.46945E+00
-1.2104960E-01,2.46945E+00
-1.2104499E-01,2.50852E+00
-1.2104038E-01,2.43039E+00
-1.2103578E-01,2.43039E+00
-1.2103117E-01,2.48898E+00
-1.2102656E-01,2.48898E+00
-1.2102195E-01,2.43039E+00
-1.2101734E-01,2.50852E+00
-1.2101274E-01,2.46945E+00
-1.2100813E-01,2.48898E+00
-1.2100352E-01,2.48898E+00
-1.2099891E-01,2.50852E+00
-1.2099430E-01,2.44992E+00
-1.2098970E-01,2.46945E+00
-1.2098509E-01,2.43039E+00
-1.2098048E-01,2.48898E+00
-1.2097587E-01,2.46945E+00
-1.2097126E-01,2.48898E+00
-1.2096666E-01,2.48898E+00
-1.2096205E-01,2.48898E+00
-1.2095744E-01,2.43039E+00
-1.2095283E-01,2.48898E+00
-1.2094822E-01,2.44992E+00
-1.2094362E-01,2.43039E+00
-1.2093901E-01,2.52805E+00
-1.2093440E-01,2.50852E+00
-1.2092979E-01,2.52805E+00
-1.2092518E-01,2.46945E+00
-1.2092058E-01,2.46945E+00
-1.2091597E-01,2.43039E+00
-1.2091136E-01,2.48898E+00
-1.2090675E-01,2.48898E+00
-1.2090214E-01,2.48898E+00
-1.2089754E-01,2.46945E+00
-1.2089293E-01,2.50852E+00
-1.2088832E-01,2.54758E+00
-1.2088371E-01,2.48898E+00
-1.2087910E-01,2.52805E+00
-1.2087450E-01,2.50852E+00
-1.2086989E-01,2.60617E+00
-1.2086528E-01,2.54758E+00
-1.2086067E-01,2.44992E+00
-1.2085606E-01,2.46945E+00
-1.2085146E-01,2.50852E+00
-1.2084685E-01,2.58664E+00
-1.2084224E-01,2.50852E+00
-1.2083763E-01,2.48898E+00
-1.2083302E-01,2.54758E+00
-1.2082842E-01,2.41086E+00
-1.2082381E-01,2.52805E+00
-1.2081920E-01,2.48898E+00
-1.2081459E-01,2.46945E+00
-1.2080998E-01,2.41086E+00
-1.2080538E-01,2.50852E+00
-1.2080077E-01,2.48898E+00
-1.2079616E-01,2.52805E+00
-1.2079155E-01,2.48898E+00
-1.2078694E-01,2.52805E+00
-1.2078234E-01,2.52805E+00
-1.2077773E-01,2.50852E+00
-1.2077312E-01,2.48898E+00
-1.2076851E-01,2.56711E+00
-1.2076390E-01,2.48898E+00
-1.2075930E-01,2.44992E+00
-1.2075469E-01,2.46945E+00
-1.2075008E-01,2.50852E+00
-1.2074547E-01,2.54758E+00
-1.2074086E-01,2.52805E+00
-1.2073626E-01,2.56711E+00
-1.2073165E-01,2.52805E+00
-1.2072704E-01,2.62570E+00
-1.2072243E-01,2.48898E+00
-1.2071782E-01,2.60617E+00
-1.2071322E-01,2.54758E+00
-1.2070861E-01,2.56711E+00
-1.2070400E-01,2.56711E+00
-1.2069939E-01,2.56711E+00
-1.2069478E-01,2.48898E+00
-1.2069018E-01,2.54758E+00
-1.2068557E-01,2.56711E+00
-1.2068096E-01,2.52805E+00
-1.2067635E-01,2.52805E+00
-1.2067174E-01,2.56711E+00
-1.2066714E-01,2.54758E+00
-1.2066253E-01,2.50852E+00
-1.2065792E-01,2.60617E+00
-1.2065331E-01,2.48898E+00
-1.2064870E-01,2.48898E+00
-1.2064410E-01,2.44992E+00
-1.2063949E-01,2.54758E+00
-1.2063488E-01,2.48898E+00
-1.2063027E-01,2.54758E+00
-1.2062566E-01,2.58664E+00
-1.2062106E-01,2.56711E+00
-1.2061645E-01,2.52805E+00
-1.2061184E-01,2.52805E+00
-1.2060723E-01,2.52805E+00
-1.2060262E-01,2.52805E+00
-1.2059802E-01,2.50852E+00
-1.2059341E-01,2.54758E+00
-1.2058880E-01,2.58664E+00
-1.2058419E-01,2.48898E+00
-1.2057958E-01,2.48898E+00
-1.2057498E-01,2.54758E+00
-1.2057037E-01,2.56711E+00
-1.2056576E-01,2.54758E+00
-1.2056115E-01,2.54758E+00
-1.2055654E-01,2.54758E+00
-1.2055194E-01,2.54758E+00
-1.2054733E-01,2.48898E+00
-1.2054272E-01,2.56711E+00
-1.2053811E-01,2.50852E+00
-1.2053350E-01,2.50852E+00
-1.2052890E-01,2.52805E+00
-1.2052429E-01,2.56711E+00
-1.2051968E-01,2.52805E+00
-1.2051507E-01,2.56711E+00
-1.2051046E-01,2.52805E+00
-1.2050586E-01,2.58664E+00
-1.2050125E-01,2.46945E+00
-1.2049664E-01,2.48898E+00
-1.2049203E-01,2.58664E+00
-1.2048742E-01,2.48898E+00
-1.2048282E-01,2.50852E+00
-1.2047821E-01,2.50852E+00
-1.2047360E-01,2.48898E+00
-1.2046899E-01,2.41086E+00
-1.2046438E-01,2.52805E+00
-1.2045978E-01,2.50852E+00
-1.2045517E-01,2.60617E+00
-1.2045056E-01,2.50852E+00
-1.2044595E-01,2.48898E+00
-1.2044134E-01,2.48898E+00
-1.2043674E-01,2.46945E+00
-1.2043213E-01,2.48898E+00
-1.2042752E-01,2.48898E+00
-1.2042291E-01,2.52805E+00
-1.2041830E-01,2.50852E+00
-1.2041370E-01,2.46945E+00
-1.2040909E-01,2.50852E+00
-1.2040448E-01,2.48898E+00
-1.2039987E-01,2.48898E+00
-1.2039526E-01,2.41086E+00
-1.2039066E-01,2.48898E+00
-1.2038605E-01,2.56711E+00
-1.2038144E-01,2.41086E+00
-1.2037683E-01,2.44992E+00
-1.2037222E-01,2.52805E+00
-1.2036762E-01,2.44992E+00
-1.2036301E-01,2.46945E+00
-1.2035840E-01,2.39133E+00
-1.2035379E-01,2.48898E+00
-1.2034918E-01,2.50852E+00
-1.2034458E-01,2.50852E+00
-1.2033997E-01,2.56711E+00
-1.2033536E-01,2.46945E+00
-1.2033075E-01,2.50852E+00
-1.2032614E-01,2.46945E+00
-1.2032154E-01,2.44992E+00
-1.2031693E-01,2.52805E+00
-1.2031232E-01,2.48898E+00
-1.2030771E-01,2.48898E+00
-1.2030310E-01,2.44992E+00
-1.2029850E-01,2.52805E+00
-1.2029389E-01,2.48898E+00
-1.2028928E-01,2.54758E+00
-1.2028467E-01,2.52805E+00
-1.2028006E-01,2.46945E+00
-1.2027546E-01,2.50852E+00
-1.2027085E-01,2.48898E+00
-1.2026624E-01,2.54758E+00
-1.2026163E-01,2.52805E+00
-1.2025702E-01,2.52805E+00
-1.2025242E-01,2.48898E+00
-1.2024781E-01,2.52805E+00
-1.2024320E-01,2.44992E+00
-1.2023859E-01,2.48898E+00
-1.2023398E-01,2.56711E+00
-1.2022938E-01,2.54758E+00
-1.2022477E-01,2.54758E+00
-1.2022016E-01,2.58664E+00
-1.2021555E-01,2.48898E+00
-1.2021094E-01,2.54758E+00
-1.2020634E-01,2.50852E+00
-1.2020173E-01,2.52805E+00
-1.2019712E-01,2.54758E+00
-1.2019251E-01,2.43039E+00
-1.2018790E-01,2.50852E+00
-1.2018330E-01,2.58664E+00
-1.2017869E-01,2.48898E+00
-1.2017408E-01,2.58664E+00
-1.2016947E-01,2.52805E+00
-1.2016486E-01,2.58664E+00
-1.2016026E-01,2.52805E+00
-1.2015565E-01,2.58664E+00
-1.2015104E-01,2.58664E+00
-1.2014643E-01,2.52805E+00
-1.2014182E-01,2.48898E+00
-1.2013722E-01,2.58664E+00
-1.2013261E-01,2.48898E+00
-1.2012800E-01,2.52805E+00
-1.2012339E-01,2.48898E+00
-1.2011878E-01,2.54758E+00
-1.2011418E-01,2.48898E+00
-1.2010957E-01,2.58664E+00
-1.2010496E-01,2.56711E+00
-1.2010035E-01,2.48898E+00
-1.2009574E-01,2.43039E+00
-1.2009114E-01,2.60617E+00
-1.2008653E-01,2.50852E+00
-1.2008192E-01,2.46945E+00
-1.2007731E-01,2.50852E+00
-1.2007270E-01,2.52805E+00
-1.2006810E-01,2.50852E+00
-1.2006349E-01,2.50852E+00
-1.2005888E-01,2.54758E+00
-1.2005427E-01,2.50852E+00
-1.2004966E-01,2.56711E+00
-1.2004506E-01,2.54758E+00
-1.2004045E-01,2.56711E+00
-1.2003584E-01,2.44992E+00
-1.2003123E-01,2.50852E+00
-1.2002662E-01,2.50852E+00
-1.2002202E-01,2.50852E+00
-1.2001741E-01,2.54758E+00
-1.2001280E-01,2.58664E+00
-1.2000819E-01,2.60617E+00
-1.2000358E-01,2.50852E+00
-1.1999898E-01,2.50852E+00
-1.1999437E-01,2.54758E+00
-1.1998976E-01,2.54758E+00
-1.1998515E-01,2.48898E+00
-1.1998054E-01,2.48898E+00
-1.1997594E-01,2.54758E+00
-1.1997133E-01,2.52805E+00
-1.1996672E-01,2.54758E+00
-1.1996211E-01,2.58664E+00
-1.1995750E-01,2.52805E+00
-1.1995290E-01,2.56711E+00
-1.1994829E-01,2.50852E+00
-1.1994368E-01,2.56711E+00
-1.1993907E-01,2.46945E+00
-1.1993446E-01,2.54758E+00
-1.1992986E-01,2.48898E+00
-1.1992525E-01,2.50852E+00
-1.1992064E-01,2.58664E+00
-1.1991603E-01,2.48898E+00
-1.1991142E-01,2.50852E+00
-1.1990682E-01,2.54758E+00
-1.1990221E-01,2.48898E+00
-1.1989760E-01,2.48898E+00
-1.1989299E-01,2.48898E+00
-1.1988838E-01,2.54758E+00
-1.1988378E-01,2.50852E+00
-1.1987917E-01,2.48898E+00
-1.1987456E-01,2.52805E+00
-1.1986995E-01,2.50852E+00
-1.1986534E-01,2.58664E+00
-1.1986074E-01,2.52805E+00
-1.1985613E-01,2.44992E+00
-1.1985152E-01,2.54758E+00
-1.1984691E-01,2.50852E+00
-1.1984230E-01,2.56711E+00
-1.1983770E-01,2.46945E+00
-1.1983309E-01,2.48898E+00
-1.1982848E-01,2.50852E+00
-1.1982387E-01,2.52805E+00
-1.1981926E-01,2.44992E+00
-1.1981466E-01,2.50852E+00
-1.1981005E-01,2.58664E+00
-1.1980544E-01,2.48898E+00
-1.1980083E-01,2.52805E+00
-1.1979622E-01,2.50852E+00
-1.1979162E-01,2.50852E+00
-1.1978701E-01,2.48898E+00
-1.1978240E-01,2.44992E+00
-1.1977779E-01,2.46945E+00
-1.1977318E-01,2.46945E+00
-1.1976858E-01,2.48898E+00
