in s,C1 in V,C2 in V
3.9640032E-01,-2.41164E-01,-7.41406E-03
3.9640218E-01,-2.60695E-01,-3.86641E-02
3.9640403E-01,-2.60695E-01,-2.88984E-02
3.9640589E-01,-2.54836E-01,-3.50781E-03
3.9640774E-01,-2.41164E-01,8.21094E-03
3.9640960E-01,-2.45070E-01,1.01641E-02
3.9641146E-01,-2.52883E-01,-7.41406E-03
3.9641331E-01,-2.54836E-01,2.35156E-03
3.9641517E-01,-2.56789E-01,8.21094E-03
3.9641702E-01,-2.48977E-01,1.79766E-02
3.9641888E-01,-2.48977E-01,6.25781E-03
3.9642074E-01,-2.50930E-01,1.21172E-02
3.9642259E-01,-2.54836E-01,1.40703E-02
3.9642445E-01,-2.56789E-01,1.60234E-02
3.9642630E-01,-2.74367E-01,-2.10859E-02
3.9642816E-01,-2.78273E-01,-2.69453E-02
3.9643002E-01,-2.76320E-01,-2.49922E-02
3.9643187E-01,-2.64602E-01,1.21172E-02
3.9643373E-01,-2.74367E-01,2.35156E-03
3.9643558E-01,-2.66555E-01,-9.36719E-03
3.9643744E-01,-2.93898E-01,-2.49922E-02
3.9643930E-01,-2.80227E-01,-3.50781E-03
3.9644115E-01,-2.68508E-01,1.79766E-02
3.9644301E-01,-2.48977E-01,1.79766E-02
3.9644486E-01,-2.66555E-01,3.98437E-04
3.9644672E-01,-2.64602E-01,1.60234E-02
3.9644858E-01,-2.68508E-01,1.21172E-02
3.9645043E-01,-2.50930E-01,2.77422E-02
3.9645229E-01,-2.60695E-01,1.60234E-02
3.9645414E-01,-2.54836E-01,4.33672E-02
3.9645600E-01,-2.60695E-01,4.33672E-02
3.9645786E-01,-2.52883E-01,3.36016E-02
3.9645971E-01,-2.78273E-01,-5.46094E-03
3.9646157E-01,-2.74367E-01,6.25781E-03
3.9646342E-01,-2.82180E-01,1.60234E-02
3.9646528E-01,-2.60695E-01,3.94609E-02
3.9646714E-01,-2.80227E-01,6.25781E-03
3.9646899E-01,-2.82180E-01,2.35156E-03
3.9647085E-01,-3.03664E-01,-2.10859E-02
3.9647270E-01,-2.82180E-01,6.25781E-03
3.9647456E-01,-2.72414E-01,2.18828E-02
3.9647642E-01,-2.64602E-01,2.57891E-02
3.9647827E-01,-2.70461E-01,6.25781E-03
3.9648013E-01,-2.54836E-01,4.33672E-02
3.9648198E-01,-2.66555E-01,3.55547E-02
3.9648384E-01,-2.64602E-01,3.75078E-02
3.9648570E-01,-2.62648E-01,2.38359E-02
3.9648755E-01,-2.48977E-01,3.36016E-02
3.9648941E-01,-2.72414E-01,4.14141E-02
3.9649126E-01,-2.52883E-01,4.92266E-02
3.9649312E-01,-2.82180E-01,1.79766E-02
3.9649498E-01,-2.89992E-01,1.40703E-02
3.9649683E-01,-2.89992E-01,1.21172E-02
3.9649869E-01,-2.60695E-01,4.72734E-02
3.9650054E-01,-2.82180E-01,1.99297E-02
3.9650240E-01,-2.72414E-01,8.21094E-03
3.9650426E-01,-3.01711E-01,6.25781E-03
3.9650611E-01,-2.76320E-01,2.18828E-02
3.9650797E-01,-2.86086E-01,1.99297E-02
3.9650982E-01,-2.72414E-01,2.96953E-02
3.9651168E-01,-2.72414E-01,3.16484E-02
3.9651354E-01,-2.62648E-01,4.53203E-02
3.9651539E-01,-2.66555E-01,4.14141E-02
3.9651725E-01,-2.68508E-01,3.75078E-02
3.9651910E-01,-2.72414E-01,2.96953E-02
3.9652096E-01,-2.72414E-01,5.11797E-02
3.9652282E-01,-2.62648E-01,8.04766E-02
3.9652467E-01,-2.58742E-01,5.89922E-02
3.9652653E-01,-2.74367E-01,3.55547E-02
3.9652838E-01,-2.93898E-01,1.60234E-02
3.9653024E-01,-2.89992E-01,1.21172E-02
3.9653210E-01,-2.78273E-01,3.55547E-02
3.9653395E-01,-2.60695E-01,4.53203E-02
3.9653581E-01,-2.68508E-01,3.94609E-02
3.9653766E-01,-2.78273E-01,3.75078E-02
3.9653952E-01,-2.62648E-01,6.87578E-02
3.9654138E-01,-2.58742E-01,4.92266E-02
3.9654323E-01,-2.50930E-01,5.50859E-02
3.9654509E-01,-2.58742E-01,5.31328E-02
3.9654694E-01,-2.45070E-01,7.85234E-02
3.9654880E-01,-2.58742E-01,7.07109E-02
3.9655066E-01,-2.64602E-01,4.92266E-02
3.9655251E-01,-2.74367E-01,3.36016E-02
3.9655437E-01,-2.70461E-01,5.50859E-02
3.9655622E-01,-2.64602E-01,7.46172E-02
3.9655808E-01,-2.64602E-01,4.53203E-02
3.9655994E-01,-2.72414E-01,2.96953E-02
3.9656179E-01,-2.80227E-01,2.18828E-02
3.9656365E-01,-2.64602E-01,4.14141E-02
3.9656550E-01,-2.58742E-01,3.55547E-02
3.9656736E-01,-2.48977E-01,6.09453E-02
3.9656922E-01,-2.62648E-01,4.33672E-02
3.9657107E-01,-2.45070E-01,8.43828E-02
3.9657293E-01,-2.48977E-01,6.87578E-02
3.9657478E-01,-2.39211E-01,7.65703E-02
3.9657664E-01,-2.64602E-01,3.94609E-02
3.9657850E-01,-2.48977E-01,6.09453E-02
3.9658035E-01,-2.48977E-01,7.07109E-02
3.9658221E-01,-2.41164E-01,8.63359E-02
3.9658406E-01,-2.62648E-01,3.55547E-02
3.9658592E-01,-2.66555E-01,3.16484E-02
3.9658778E-01,-2.68508E-01,2.96953E-02
3.9658963E-01,-2.48977E-01,7.07109E-02
3.9659149E-01,-2.43117E-01,7.65703E-02
3.9659334E-01,-2.23586E-01,7.85234E-02
3.9659520E-01,-2.54836E-01,5.89922E-02
3.9659706E-01,-2.43117E-01,9.21953E-02
3.9659891E-01,-2.39211E-01,7.07109E-02
3.9660077E-01,-2.19680E-01,7.85234E-02
3.9660262E-01,-2.31398E-01,7.26641E-02
3.9660448E-01,-2.17727E-01,1.07820E-01
3.9660634E-01,-2.43117E-01,8.43828E-02
3.9660819E-01,-2.31398E-01,6.87578E-02
3.9661005E-01,-2.48977E-01,4.53203E-02
3.9661190E-01,-2.37258E-01,6.48516E-02
3.9661376E-01,-2.41164E-01,9.41484E-02
3.9661562E-01,-2.33352E-01,7.65703E-02
3.9661747E-01,-2.45070E-01,5.11797E-02
3.9661933E-01,-2.58742E-01,3.55547E-02
3.9662118E-01,-2.47023E-01,7.07109E-02
3.9662304E-01,-2.35305E-01,6.68047E-02
3.9662490E-01,-2.21633E-01,7.85234E-02
3.9662675E-01,-2.23586E-01,5.70391E-02
3.9662861E-01,-2.15773E-01,9.80547E-02
3.9663046E-01,-2.17727E-01,8.63359E-02
3.9663232E-01,-2.15773E-01,8.82891E-02
3.9663418E-01,-2.15773E-01,7.26641E-02
3.9663603E-01,-2.04055E-01,9.41484E-02
3.9663789E-01,-2.15773E-01,9.61016E-02
3.9663974E-01,-2.04055E-01,1.21492E-01
3.9664160E-01,-2.17727E-01,7.65703E-02
3.9664346E-01,-2.33352E-01,6.68047E-02
3.9664531E-01,-2.43117E-01,4.33672E-02
3.9664717E-01,-2.11867E-01,9.02422E-02
3.9664902E-01,-2.13820E-01,8.04766E-02
3.9665088E-01,-2.11867E-01,8.04766E-02
3.9665274E-01,-2.27492E-01,6.87578E-02
3.9665459E-01,-2.13820E-01,8.63359E-02
3.9665645E-01,-2.06008E-01,9.41484E-02
3.9665830E-01,-1.86477E-01,1.00008E-01
3.9666016E-01,-1.98195E-01,9.21953E-02
3.9666202E-01,-1.98195E-01,1.13680E-01
3.9666387E-01,-1.84523E-01,1.13680E-01
3.9666573E-01,-2.00148E-01,9.61016E-02
3.9666758E-01,-1.96242E-01,7.85234E-02
3.9666944E-01,-2.06008E-01,8.04766E-02
3.9667130E-01,-1.86477E-01,1.17586E-01
3.9667315E-01,-2.00148E-01,9.41484E-02
3.9667501E-01,-1.94289E-01,7.07109E-02
3.9667686E-01,-2.21633E-01,4.72734E-02
3.9667872E-01,-1.98195E-01,9.41484E-02
3.9668058E-01,-1.88430E-01,1.01961E-01
3.9668243E-01,-1.53273E-01,1.31258E-01
3.9668429E-01,-1.82570E-01,1.05867E-01
3.9668614E-01,-1.70852E-01,1.19539E-01
3.9668800E-01,-1.90383E-01,1.00008E-01
3.9668986E-01,-1.82570E-01,1.09773E-01
3.9669171E-01,-1.82570E-01,6.48516E-02
3.9669357E-01,-1.84523E-01,8.04766E-02
3.9669542E-01,-1.76711E-01,9.21953E-02
3.9669728E-01,-1.64992E-01,1.07820E-01
3.9669914E-01,-1.70852E-01,8.24297E-02
3.9670099E-01,-1.78664E-01,8.04766E-02
3.9670285E-01,-1.78664E-01,8.04766E-02
3.9670470E-01,-1.57180E-01,1.31258E-01
3.9670656E-01,-1.45461E-01,1.35164E-01
3.9670842E-01,-1.55227E-01,1.15633E-01
3.9671027E-01,-1.68898E-01,9.61016E-02
3.9671213E-01,-1.59133E-01,1.01961E-01
3.9671398E-01,-1.61086E-01,1.13680E-01
3.9671584E-01,-1.63039E-01,8.43828E-02
3.9671770E-01,-1.59133E-01,8.43828E-02
3.9671955E-01,-1.70852E-01,8.63359E-02
3.9672141E-01,-1.53273E-01,1.03914E-01
3.9672326E-01,-1.53273E-01,7.85234E-02
3.9672512E-01,-1.51320E-01,9.21953E-02
3.9672698E-01,-1.49367E-01,8.82891E-02
3.9672883E-01,-1.31789E-01,1.37117E-01
3.9673069E-01,-1.31789E-01,1.42977E-01
3.9673254E-01,-1.29836E-01,1.23445E-01
3.9673440E-01,-1.59133E-01,9.41484E-02
3.9673626E-01,-1.49367E-01,9.80547E-02
3.9673811E-01,-1.47414E-01,1.03914E-01
3.9673997E-01,-1.33742E-01,1.05867E-01
3.9674182E-01,-1.33742E-01,9.41484E-02
3.9674368E-01,-1.45461E-01,8.04766E-02
3.9674554E-01,-1.43508E-01,1.13680E-01
3.9674739E-01,-1.29836E-01,1.23445E-01
3.9674925E-01,-1.22023E-01,1.17586E-01
3.9675110E-01,-1.22023E-01,1.13680E-01
3.9675296E-01,-1.04445E-01,1.46883E-01
3.9675482E-01,-1.16164E-01,1.42977E-01
3.9675667E-01,-1.14211E-01,1.29305E-01
3.9675853E-01,-1.29836E-01,8.04766E-02
3.9676038E-01,-1.20070E-01,8.82891E-02
3.9676224E-01,-1.27883E-01,1.00008E-01
3.9676410E-01,-1.10305E-01,1.25398E-01
3.9676595E-01,-1.22023E-01,7.85234E-02
3.9676781E-01,-1.29836E-01,8.43828E-02
3.9676966E-01,-1.37648E-01,8.63359E-02
3.9677152E-01,-1.00539E-01,1.29305E-01
3.9677338E-01,-1.10305E-01,1.17586E-01
3.9677523E-01,-9.07734E-02,1.31258E-01
3.9677709E-01,-9.85859E-02,1.33211E-01
3.9677894E-01,-8.29609E-02,1.42977E-01
3.9678080E-01,-1.00539E-01,1.31258E-01
3.9678266E-01,-8.88203E-02,1.00008E-01
3.9678451E-01,-1.00539E-01,1.09773E-01
3.9678637E-01,-9.66328E-02,1.11727E-01
3.9678822E-01,-8.49141E-02,1.29305E-01
3.9679008E-01,-9.07734E-02,1.00008E-01
3.9679194E-01,-1.02492E-01,8.04766E-02
3.9679379E-01,-1.04445E-01,7.85234E-02
3.9679565E-01,-7.71016E-02,1.29305E-01
3.9679750E-01,-7.71016E-02,1.29305E-01
3.9679936E-01,-5.36641E-02,1.42977E-01
3.9680122E-01,-7.51484E-02,1.23445E-01
3.9680307E-01,-7.12422E-02,1.29305E-01
3.9680493E-01,-8.49141E-02,1.23445E-01
3.9680678E-01,-6.92891E-02,1.35164E-01
3.9680864E-01,-8.29609E-02,1.01961E-01
3.9681050E-01,-6.34297E-02,1.27352E-01
3.9681235E-01,-7.71016E-02,1.19539E-01
3.9681421E-01,-7.71016E-02,1.19539E-01
3.9681606E-01,-7.71016E-02,7.26641E-02
3.9681792E-01,-7.71016E-02,8.82891E-02
3.9681978E-01,-7.90547E-02,1.23445E-01
3.9682163E-01,-4.19453E-02,1.27352E-01
3.9682349E-01,-4.97578E-02,1.15633E-01
3.9682534E-01,-5.95234E-02,9.41484E-02
3.9682720E-01,-4.78047E-02,1.21492E-01
3.9682906E-01,-5.36641E-02,1.15633E-01
3.9683091E-01,-1.46016E-02,1.37117E-01
3.9683277E-01,-3.99922E-02,1.21492E-01
3.9683462E-01,-3.21797E-02,1.44930E-01
3.9683648E-01,-4.19453E-02,1.39070E-01
