in s,C1 in V,C2 in V
3.5860032E-01,5.76641E-02,-1.75383E-01
3.5860218E-01,7.13359E-02,-1.73430E-01
3.5860403E-01,6.54766E-02,-1.89055E-01
3.5860589E-01,7.52422E-02,-1.48039E-01
3.5860774E-01,7.71953E-02,-1.20695E-01
3.5860960E-01,8.30547E-02,-1.12883E-01
3.5861146E-01,6.74297E-02,-1.51945E-01
3.5861331E-01,6.54766E-02,-1.69523E-01
3.5861517E-01,6.74297E-02,-1.57805E-01
3.5861702E-01,4.20391E-02,-1.51945E-01
3.5861888E-01,6.35234E-02,-1.48039E-01
3.5862074E-01,5.96172E-02,-1.77336E-01
3.5862259E-01,5.76641E-02,-1.22648E-01
3.5862445E-01,5.37578E-02,-1.28508E-01
3.5862630E-01,7.91484E-02,-9.92109E-02
3.5862816E-01,7.13359E-02,-1.28508E-01
3.5863002E-01,5.57109E-02,-1.07023E-01
3.5863187E-01,3.81328E-02,-1.36320E-01
3.5863373E-01,5.37578E-02,-1.57805E-01
3.5863558E-01,4.20391E-02,-1.71477E-01
3.5863744E-01,4.39922E-02,-1.42180E-01
3.5863930E-01,6.15703E-02,-1.03117E-01
3.5864115E-01,6.54766E-02,-9.33516E-02
3.5864301E-01,5.96172E-02,-9.92109E-02
3.5864486E-01,4.00859E-02,-1.28508E-01
3.5864672E-01,2.83672E-02,-1.26555E-01
3.5864858E-01,2.64141E-02,-1.36320E-01
3.5865043E-01,4.59453E-02,-1.08977E-01
3.5865229E-01,4.59453E-02,-1.05070E-01
3.5865414E-01,5.37578E-02,-8.55391E-02
3.5865600E-01,3.81328E-02,-9.13984E-02
3.5865786E-01,4.39922E-02,-6.99141E-02
3.5865971E-01,2.83672E-02,-1.12883E-01
3.5866157E-01,3.42266E-02,-9.92109E-02
3.5866342E-01,1.66484E-02,-1.24602E-01
3.5866528E-01,2.44609E-02,-9.53047E-02
3.5866714E-01,2.44609E-02,-1.12883E-01
3.5866899E-01,2.83672E-02,-8.35859E-02
3.5867085E-01,2.83672E-02,-6.21016E-02
3.5867270E-01,2.83672E-02,-3.67109E-02
3.5867456E-01,2.44609E-02,-7.18672E-02
3.5867642E-01,8.83594E-03,-1.12883E-01
3.5867827E-01,2.97656E-03,-1.03117E-01
