in s,C1 in V,C2 in V
-2.80699840E-01,2.76758E+00,2.05078E-01
-2.80698912E-01,2.78711E+00,1.46484E-01
-2.80697984E-01,2.84570E+00,2.05078E-01
-2.80697056E-01,2.80664E+00,8.78906E-02
-2.80696128E-01,2.78711E+00,1.07422E-01
-2.80695200E-01,2.78711E+00,6.83594E-02
-2.80694272E-01,2.78711E+00,1.07422E-01
-2.80693344E-01,2.72852E+00,2.05078E-01
-2.80692416E-01,2.78711E+00,1.66016E-01
-2.80691488E-01,2.76758E+00,1.46484E-01
-2.80690560E-01,2.78711E+00,1.26953E-01
-2.80689632E-01,2.78711E+00,2.24609E-01
-2.80688704E-01,2.78711E+00,2.05078E-01
-2.80687776E-01,2.74805E+00,2.05078E-01
-2.80686848E-01,2.88477E+00,1.07422E-01
-2.80685920E-01,2.78711E+00,1.85547E-01
-2.80684992E-01,2.82617E+00,1.66016E-01
-2.80684064E-01,2.84570E+00,1.46484E-01
-2.80683136E-01,2.78711E+00,1.46484E-01
-2.80682208E-01,2.80664E+00,1.46484E-01
-2.80681280E-01,2.76758E+00,2.92969E-02
-2.80680352E-01,2.80664E+00,1.07422E-01
-2.80679424E-01,2.78711E+00,1.66016E-01
-2.80678496E-01,2.78711E+00,1.07422E-01
-2.80677568E-01,2.78711E+00,8.78906E-02
-2.80676640E-01,2.76758E+00,6.83594E-02
-2.80675712E-01,2.76758E+00,4.88281E-02
-2.80674784E-01,2.74805E+00,8.78906E-02
-2.80673856E-01,2.78711E+00,4.88281E-02
-2.80672928E-01,2.74805E+00,2.92969E-02
-2.80672000E-01,2.74805E+00,4.88281E-02
-2.80671072E-01,2.82617E+00,4.88281E-02
-2.80670144E-01,2.72852E+00,1.26953E-01
-2.80669216E-01,2.78711E+00,8.78906E-02
-2.80668288E-01,2.84570E+00,2.92969E-02
-2.80667360E-01,2.80664E+00,1.46484E-01
-2.80666432E-01,2.72852E+00,-2.92969E-02
-2.80665504E-01,2.88477E+00,6.83594E-02
-2.80664576E-01,2.76758E+00,2.92969E-02
-2.80663648E-01,2.74805E+00,-9.76562E-03
-2.80662720E-01,2.72852E+00,6.83594E-02
-2.80661792E-01,2.66992E+00,4.88281E-02
-2.80660864E-01,2.76758E+00,4.88281E-02
-2.80659936E-01,2.70898E+00,-9.76562E-03
-2.80659008E-01,2.70898E+00,-9.76562E-03
-2.80658080E-01,2.76758E+00,6.83594E-02
-2.80657152E-01,2.74805E+00,-2.92969E-02
-2.80656224E-01,2.74805E+00,9.76562E-03
-2.80655296E-01,2.72852E+00,1.07422E-01
-2.80654368E-01,2.74805E+00,-9.76562E-03
-2.80653440E-01,2.65039E+00,2.92969E-02
-2.80652512E-01,2.63086E+00,9.76562E-03
-2.80651584E-01,2.72852E+00,9.76562E-03
-2.80650656E-01,2.70898E+00,-9.76562E-03
-2.80649728E-01,2.68945E+00,-9.76562E-03
-2.80648800E-01,2.68945E+00,4.88281E-02
-2.80647872E-01,2.65039E+00,-9.76562E-03
-2.80646944E-01,2.63086E+00,2.92969E-02
-2.80646016E-01,2.63086E+00,-4.88281E-02
-2.80645088E-01,2.63086E+00,-1.07422E-01
-2.80644160E-01,2.59180E+00,2.92969E-02
-2.80643232E-01,2.66992E+00,-6.83594E-02
-2.80642304E-01,2.63086E+00,-6.83594E-02
-2.80641376E-01,2.65039E+00,-2.92969E-02
-2.80640448E-01,2.65039E+00,-6.83594E-02
-2.80639520E-01,2.70898E+00,-4.88281E-02
-2.80638592E-01,2.63086E+00,-8.78906E-02
-2.80637664E-01,2.65039E+00,-6.83594E-02
-2.80636736E-01,2.63086E+00,-2.92969E-02
-2.80635808E-01,2.61133E+00,-8.78906E-02
-2.80634880E-01,2.63086E+00,-8.78906E-02
-2.80633952E-01,2.63086E+00,-6.83594E-02
-2.80633024E-01,2.59180E+00,-1.07422E-01
-2.80632096E-01,2.63086E+00,9.76562E-03
-2.80631168E-01,2.55273E+00,-1.26953E-01
-2.80630240E-01,2.66992E+00,-6.83594E-02
-2.80629312E-01,2.59180E+00,-1.07422E-01
-2.80628384E-01,2.57227E+00,-1.07422E-01
-2.80627456E-01,2.59180E+00,-6.83594E-02
-2.80626528E-01,2.59180E+00,-1.66016E-01
-2.80625600E-01,2.57227E+00,-6.83594E-02
-2.80624672E-01,2.55273E+00,-8.78906E-02
