in s,C1 in V,C2 in V
-2.93699840E-01,2.06445E+00,-9.76562E-03
-2.93698912E-01,1.98633E+00,4.88281E-02
-2.93697984E-01,2.06445E+00,9.76562E-03
-2.93697056E-01,2.08398E+00,-9.76562E-03
-2.93696128E-01,2.06445E+00,6.83594E-02
-2.93695200E-01,2.08398E+00,9.76562E-03
-2.93694272E-01,2.04492E+00,4.88281E-02
-2.93693344E-01,2.06445E+00,-9.76562E-03
-2.93692416E-01,2.02539E+00,6.83594E-02
-2.93691488E-01,2.16211E+00,1.07422E-01
-2.93690560E-01,2.06445E+00,1.07422E-01
-2.93689632E-01,2.12305E+00,-9.76562E-03
-2.93688704E-01,2.14258E+00,9.76562E-03
-2.93687776E-01,2.12305E+00,-8.78906E-02
-2.93686848E-01,2.12305E+00,-9.76562E-03
-2.93685920E-01,2.10352E+00,4.88281E-02
-2.93684992E-01,2.14258E+00,4.88281E-02
-2.93684064E-01,2.10352E+00,-6.83594E-02
-2.93683136E-01,2.10352E+00,-6.83594E-02
-2.93682208E-01,2.06445E+00,-9.76562E-03
-2.93681280E-01,2.10352E+00,-6.83594E-02
-2.93680352E-01,2.12305E+00,4.88281E-02
-2.93679424E-01,2.12305E+00,4.88281E-02
-2.93678496E-01,2.16211E+00,-4.88281E-02
-2.93677568E-01,2.14258E+00,-2.92969E-02
-2.93676640E-01,2.14258E+00,-1.07422E-01
-2.93675712E-01,2.14258E+00,2.92969E-02
-2.93674784E-01,2.12305E+00,-4.88281E-02
-2.93673856E-01,2.08398E+00,-4.88281E-02
-2.93672928E-01,2.12305E+00,-2.92969E-02
-2.93672000E-01,2.16211E+00,-6.83594E-02
-2.93671072E-01,2.14258E+00,-4.88281E-02
-2.93670144E-01,2.20117E+00,2.92969E-02
-2.93669216E-01,2.18164E+00,-2.92969E-02
-2.93668288E-01,2.06445E+00,-9.76562E-03
-2.93667360E-01,2.20117E+00,-2.92969E-02
-2.93666432E-01,2.16211E+00,-9.76562E-03
-2.93665504E-01,2.18164E+00,-6.83594E-02
-2.93664576E-01,2.18164E+00,-1.07422E-01
-2.93663648E-01,2.14258E+00,-9.76562E-03
-2.93662720E-01,2.16211E+00,-9.76562E-03
-2.93661792E-01,2.18164E+00,-6.83594E-02
-2.93660864E-01,2.20117E+00,-9.76562E-03
-2.93659936E-01,2.14258E+00,-1.26953E-01
-2.93659008E-01,2.27930E+00,-9.76562E-03
-2.93658080E-01,2.18164E+00,-2.92969E-02
-2.93657152E-01,2.20117E+00,-6.83594E-02
-2.93656224E-01,2.16211E+00,-2.92969E-02
-2.93655296E-01,2.18164E+00,-6.83594E-02
-2.93654368E-01,2.16211E+00,-9.76562E-03
-2.93653440E-01,2.24023E+00,-9.76562E-03
-2.93652512E-01,2.16211E+00,9.76562E-03
-2.93651584E-01,2.20117E+00,-8.78906E-02
-2.93650656E-01,2.24023E+00,-8.78906E-02
-2.93649728E-01,2.24023E+00,-9.76562E-03
-2.93648800E-01,2.25977E+00,-6.83594E-02
-2.93647872E-01,2.18164E+00,-1.07422E-01
-2.93646944E-01,2.18164E+00,-4.88281E-02
-2.93646016E-01,2.20117E+00,-4.88281E-02
-2.93645088E-01,2.14258E+00,-6.83594E-02
-2.93644160E-01,2.16211E+00,-6.83594E-02
-2.93643232E-01,2.20117E+00,-8.78906E-02
-2.93642304E-01,2.12305E+00,-6.83594E-02
-2.93641376E-01,2.24023E+00,-8.78906E-02
-2.93640448E-01,2.16211E+00,-9.76562E-03
-2.93639520E-01,2.24023E+00,-8.78906E-02
-2.93638592E-01,2.16211E+00,-2.92969E-02
-2.93637664E-01,2.20117E+00,-1.26953E-01
-2.93636736E-01,2.24023E+00,-8.78906E-02
-2.93635808E-01,2.20117E+00,-1.26953E-01
-2.93634880E-01,2.25977E+00,-1.26953E-01
-2.93633952E-01,2.25977E+00,-6.83594E-02
-2.93633024E-01,2.24023E+00,-1.07422E-01
