in s,C1 in V,C2 in V
-2.44799840E-01,2.74805E+00,-6.83594E-02
-2.44798912E-01,2.68945E+00,-9.76562E-03
-2.44797984E-01,2.74805E+00,-6.83594E-02
-2.44797056E-01,2.76758E+00,-8.78906E-02
-2.44796128E-01,2.82617E+00,-6.83594E-02
-2.44795200E-01,2.72852E+00,-2.92969E-02
-2.44794272E-01,2.76758E+00,-6.83594E-02
-2.44793344E-01,2.76758E+00,-9.76562E-03
-2.44792416E-01,2.72852E+00,-8.78906E-02
-2.44791488E-01,2.78711E+00,-6.83594E-02
-2.44790560E-01,2.72852E+00,-6.83594E-02
-2.44789632E-01,2.76758E+00,-1.07422E-01
-2.44788704E-01,2.76758E+00,-6.83594E-02
-2.44787776E-01,2.76758E+00,-1.26953E-01
-2.44786848E-01,2.72852E+00,-6.83594E-02
-2.44785920E-01,2.78711E+00,-8.78906E-02
-2.44784992E-01,2.72852E+00,-1.07422E-01
-2.44784064E-01,2.74805E+00,-1.26953E-01
-2.44783136E-01,2.72852E+00,-1.46484E-01
-2.44782208E-01,2.72852E+00,-2.05078E-01
-2.44781280E-01,2.78711E+00,-6.83594E-02
-2.44780352E-01,2.76758E+00,-1.07422E-01
-2.44779424E-01,2.84570E+00,-6.83594E-02
-2.44778496E-01,2.74805E+00,-4.88281E-02
-2.44777568E-01,2.78711E+00,-6.83594E-02
-2.44776640E-01,2.78711E+00,-8.78906E-02
-2.44775712E-01,2.78711E+00,-1.46484E-01
-2.44774784E-01,2.80664E+00,-6.83594E-02
-2.44773856E-01,2.84570E+00,-2.92969E-02
-2.44772928E-01,2.74805E+00,-1.26953E-01
-2.44772000E-01,2.80664E+00,-8.78906E-02
-2.44771072E-01,2.76758E+00,-2.92969E-02
-2.44770144E-01,2.76758E+00,-8.78906E-02
-2.44769216E-01,2.76758E+00,-2.92969E-02
-2.44768288E-01,2.84570E+00,-4.88281E-02
-2.44767360E-01,2.76758E+00,-6.83594E-02
-2.44766432E-01,2.72852E+00,-8.78906E-02
-2.44765504E-01,2.78711E+00,-1.07422E-01
-2.44764576E-01,2.76758E+00,-1.46484E-01
