in s,C1 in V,C2 in V
-3.87900000E-01,2.53820E+00,9.08203E-01
-3.87899040E-01,2.55773E+00,9.47266E-01
-3.87898080E-01,2.63586E+00,9.27734E-01
-3.87897120E-01,2.69445E+00,9.27734E-01
-3.87896160E-01,2.61633E+00,1.00586E+00
-3.87895200E-01,2.57727E+00,9.86328E-01
-3.87894240E-01,2.63586E+00,9.47266E-01
-3.87893280E-01,2.71398E+00,9.86328E-01
-3.87892320E-01,2.61633E+00,9.27734E-01
-3.87891360E-01,2.59680E+00,8.88672E-01
-3.87890400E-01,2.63586E+00,9.27734E-01
-3.87889440E-01,2.61633E+00,9.66797E-01
-3.87888480E-01,2.63586E+00,9.66797E-01
-3.87887520E-01,2.69445E+00,9.66797E-01
-3.87886560E-01,2.63586E+00,9.47266E-01
-3.87885600E-01,2.69445E+00,8.49609E-01
-3.87884640E-01,2.67492E+00,9.47266E-01
-3.87883680E-01,2.63586E+00,9.66797E-01
-3.87882720E-01,2.63586E+00,9.08203E-01
-3.87881760E-01,2.67492E+00,9.08203E-01
-3.87880800E-01,2.67492E+00,9.66797E-01
-3.87879840E-01,2.61633E+00,9.86328E-01
-3.87878880E-01,2.63586E+00,1.00586E+00
-3.87877920E-01,2.71398E+00,1.00586E+00
-3.87876960E-01,2.63586E+00,9.27734E-01
-3.87876000E-01,2.79211E+00,9.66797E-01
-3.87875040E-01,2.67492E+00,9.66797E-01
-3.87874080E-01,2.73352E+00,9.27734E-01
-3.87873120E-01,2.63586E+00,8.88672E-01
-3.87872160E-01,2.73352E+00,1.00586E+00
-3.87871200E-01,2.73352E+00,9.86328E-01
-3.87870240E-01,2.71398E+00,9.47266E-01
-3.87869280E-01,2.73352E+00,9.47266E-01
-3.87868320E-01,2.61633E+00,8.88672E-01
-3.87867360E-01,2.69445E+00,9.86328E-01
-3.87866400E-01,2.71398E+00,9.86328E-01
-3.87865440E-01,2.71398E+00,9.47266E-01
-3.87864480E-01,2.73352E+00,1.00586E+00
-3.87863520E-01,2.67492E+00,9.27734E-01
-3.87862560E-01,2.69445E+00,1.00586E+00
-3.87861600E-01,2.67492E+00,9.86328E-01
-3.87860640E-01,2.73352E+00,1.04492E+00
-3.87859680E-01,2.75305E+00,9.47266E-01
-3.87858720E-01,2.73352E+00,9.86328E-01
-3.87857760E-01,2.73352E+00,9.66797E-01
-3.87856800E-01,2.71398E+00,1.00586E+00
-3.87855840E-01,2.73352E+00,1.00586E+00
-3.87854880E-01,2.75305E+00,9.86328E-01
-3.87853920E-01,2.73352E+00,9.47266E-01
-3.87852960E-01,2.69445E+00,1.00586E+00
-3.87852000E-01,2.71398E+00,9.86328E-01
-3.87851040E-01,2.77258E+00,1.08398E+00
-3.87850080E-01,2.73352E+00,1.02539E+00
-3.87849120E-01,2.73352E+00,1.00586E+00
-3.87848160E-01,2.75305E+00,1.00586E+00
-3.87847200E-01,2.69445E+00,9.27734E-01
-3.87846240E-01,2.71398E+00,1.00586E+00
-3.87845280E-01,2.73352E+00,1.08398E+00
-3.87844320E-01,2.75305E+00,1.00586E+00
-3.87843360E-01,2.77258E+00,9.66797E-01
-3.87842400E-01,2.67492E+00,1.00586E+00
-3.87841440E-01,2.69445E+00,1.02539E+00
-3.87840480E-01,2.69445E+00,1.00586E+00
-3.87839520E-01,2.81164E+00,9.47266E-01
-3.87838560E-01,2.69445E+00,1.04492E+00
-3.87837600E-01,2.73352E+00,1.00586E+00
-3.87836640E-01,2.69445E+00,1.02539E+00
-3.87835680E-01,2.79211E+00,1.00586E+00
-3.87834720E-01,2.75305E+00,1.06445E+00
-3.87833760E-01,2.77258E+00,1.02539E+00
-3.87832800E-01,2.73352E+00,9.47266E-01
-3.87831840E-01,2.67492E+00,1.00586E+00
-3.87830880E-01,2.73352E+00,1.08398E+00
-3.87829920E-01,2.85070E+00,1.08398E+00
-3.87828960E-01,2.77258E+00,1.04492E+00
-3.87828000E-01,2.73352E+00,1.00586E+00
-3.87827040E-01,2.79211E+00,1.00586E+00
-3.87826080E-01,2.79211E+00,1.08398E+00
-3.87825120E-01,2.75305E+00,1.00586E+00
-3.87824160E-01,2.77258E+00,9.47266E-01
-3.87823200E-01,2.79211E+00,1.02539E+00
-3.87822240E-01,2.73352E+00,1.06445E+00
-3.87821280E-01,2.81164E+00,1.06445E+00
-3.87820320E-01,2.79211E+00,1.08398E+00
-3.87819360E-01,2.79211E+00,9.66797E-01
-3.87818400E-01,2.83117E+00,1.04492E+00
-3.87817440E-01,2.77258E+00,1.10352E+00
-3.87816480E-01,2.79211E+00,1.16211E+00
-3.87815520E-01,2.83117E+00,1.06445E+00
-3.87814560E-01,2.77258E+00,1.04492E+00
-3.87813600E-01,2.81164E+00,1.00586E+00
-3.87812640E-01,2.77258E+00,1.10352E+00
-3.87811680E-01,2.81164E+00,1.14258E+00
-3.87810720E-01,2.75305E+00,1.06445E+00
-3.87809760E-01,2.75305E+00,1.06445E+00
-3.87808800E-01,2.79211E+00,1.00586E+00
-3.87807840E-01,2.83117E+00,1.02539E+00
-3.87806880E-01,2.77258E+00,1.14258E+00
-3.87805920E-01,2.79211E+00,1.12305E+00
-3.87804960E-01,2.77258E+00,1.08398E+00
-3.87804000E-01,2.83117E+00,1.02539E+00
-3.87803040E-01,2.67492E+00,1.04492E+00
-3.87802080E-01,2.79211E+00,1.08398E+00
-3.87801120E-01,2.79211E+00,1.20117E+00
-3.87800160E-01,2.79211E+00,1.02539E+00
-3.87799200E-01,2.73352E+00,1.08398E+00
-3.87798240E-01,2.79211E+00,1.10352E+00
-3.87797280E-01,2.79211E+00,1.02539E+00
-3.87796320E-01,2.81164E+00,1.12305E+00
-3.87795360E-01,2.81164E+00,1.04492E+00
-3.87794400E-01,2.73352E+00,1.04492E+00
-3.87793440E-01,2.83117E+00,1.04492E+00
-3.87792480E-01,2.83117E+00,1.10352E+00
-3.87791520E-01,2.79211E+00,1.14258E+00
-3.87790560E-01,2.83117E+00,1.08398E+00
-3.87789600E-01,2.75305E+00,1.10352E+00
-3.87788640E-01,2.73352E+00,1.08398E+00
-3.87787680E-01,2.79211E+00,1.06445E+00
-3.87786720E-01,2.79211E+00,1.12305E+00
-3.87785760E-01,2.79211E+00,1.04492E+00
-3.87784800E-01,2.81164E+00,1.14258E+00
-3.87783840E-01,2.79211E+00,1.14258E+00
-3.87782880E-01,2.77258E+00,1.14258E+00
-3.87781920E-01,2.73352E+00,1.06445E+00
-3.87780960E-01,2.67492E+00,1.02539E+00
-3.87780000E-01,2.77258E+00,1.08398E+00
-3.87779040E-01,2.75305E+00,1.12305E+00
-3.87778080E-01,2.73352E+00,1.14258E+00
-3.87777120E-01,2.75305E+00,1.12305E+00
