in s,C1 in V,C2 in V
-1.20001072E-01,1.81055E+00,-9.76562E-03
-1.20000144E-01,1.86914E+00,4.88281E-02
-1.19999216E-01,1.79102E+00,4.88281E-02
-1.19998288E-01,1.83008E+00,-8.78906E-02
-1.19997360E-01,1.90820E+00,4.88281E-02
-1.19996432E-01,1.81055E+00,2.92969E-02
-1.19995504E-01,1.83008E+00,-4.88281E-02
-1.19994576E-01,1.84961E+00,2.92969E-02
-1.19993648E-01,1.79102E+00,-9.76562E-03
-1.19992720E-01,1.79102E+00,6.83594E-02
-1.19991792E-01,1.79102E+00,6.83594E-02
-1.19990864E-01,1.86914E+00,-4.88281E-02
-1.19989936E-01,1.83008E+00,1.07422E-01
-1.19989008E-01,1.79102E+00,6.83594E-02
-1.19988080E-01,1.84961E+00,4.88281E-02
-1.19987152E-01,1.84961E+00,8.78906E-02
-1.19986224E-01,1.79102E+00,6.83594E-02
-1.19985296E-01,1.83008E+00,1.07422E-01
-1.19984368E-01,1.79102E+00,6.83594E-02
-1.19983440E-01,1.83008E+00,6.83594E-02
-1.19982512E-01,1.83008E+00,1.46484E-01
-1.19981584E-01,1.84961E+00,6.83594E-02
-1.19980656E-01,1.88867E+00,1.07422E-01
-1.19979728E-01,1.79102E+00,6.83594E-02
-1.19978800E-01,1.81055E+00,4.88281E-02
-1.19977872E-01,1.88867E+00,1.26953E-01
-1.19976944E-01,1.79102E+00,8.78906E-02
-1.19976016E-01,1.86914E+00,6.83594E-02
-1.19975088E-01,1.86914E+00,1.07422E-01
-1.19974160E-01,1.81055E+00,1.46484E-01
-1.19973232E-01,1.88867E+00,1.46484E-01
-1.19972304E-01,1.83008E+00,8.78906E-02
-1.19971376E-01,1.86914E+00,1.46484E-01
-1.19970448E-01,1.83008E+00,1.66016E-01
-1.19969520E-01,1.92773E+00,1.46484E-01
-1.19968592E-01,2.02539E+00,1.85547E-01
-1.19967664E-01,1.86914E+00,2.24609E-01
-1.19966736E-01,1.79102E+00,2.05078E-01
-1.19965808E-01,1.88867E+00,2.05078E-01
-1.19964880E-01,1.86914E+00,1.07422E-01
-1.19963952E-01,1.81055E+00,1.26953E-01
-1.19963024E-01,1.84961E+00,2.24609E-01
-1.19962096E-01,1.86914E+00,1.46484E-01
-1.19961168E-01,1.88867E+00,1.46484E-01
-1.19960240E-01,1.88867E+00,1.85547E-01
-1.19959312E-01,1.81055E+00,1.85547E-01
-1.19958384E-01,1.84961E+00,2.05078E-01
-1.19957456E-01,1.84961E+00,1.46484E-01
-1.19956528E-01,1.92773E+00,1.46484E-01
-1.19955600E-01,1.81055E+00,2.83203E-01
-1.19954672E-01,1.92773E+00,1.66016E-01
-1.19953744E-01,1.92773E+00,2.24609E-01
-1.19952816E-01,1.86914E+00,3.02734E-01
