in s,C1 in V,C2 in V
-3.1030008E-01,1.58117E+00,6.15234E-01
-3.1029916E-01,1.58117E+00,5.37109E-01
-3.1029824E-01,1.62023E+00,5.76172E-01
-3.1029732E-01,1.50305E+00,5.37109E-01
-3.1029640E-01,1.56164E+00,5.76172E-01
-3.1029548E-01,1.62023E+00,5.37109E-01
-3.1029456E-01,1.54211E+00,5.76172E-01
-3.1029364E-01,1.50305E+00,5.37109E-01
-3.1029272E-01,1.56164E+00,5.37109E-01
-3.1029180E-01,1.56164E+00,5.56641E-01
-3.1029088E-01,1.54211E+00,5.56641E-01
-3.1028996E-01,1.52258E+00,4.98047E-01
-3.1028904E-01,1.50305E+00,5.76172E-01
-3.1028812E-01,1.54211E+00,5.37109E-01
-3.1028720E-01,1.56164E+00,5.56641E-01
-3.1028628E-01,1.46398E+00,4.58984E-01
-3.1028536E-01,1.52258E+00,4.78516E-01
-3.1028444E-01,1.46398E+00,4.98047E-01
-3.1028352E-01,1.52258E+00,4.78516E-01
-3.1028260E-01,1.56164E+00,4.39453E-01
-3.1028168E-01,1.50305E+00,4.98047E-01
-3.1028076E-01,1.54211E+00,5.56641E-01
-3.1027984E-01,1.50305E+00,5.37109E-01
-3.1027892E-01,1.52258E+00,5.17578E-01
-3.1027800E-01,1.44445E+00,4.39453E-01
-3.1027708E-01,1.48352E+00,5.17578E-01
-3.1027616E-01,1.44445E+00,4.39453E-01
-3.1027524E-01,1.42492E+00,4.58984E-01
-3.1027432E-01,1.40539E+00,5.17578E-01
-3.1027340E-01,1.50305E+00,4.39453E-01
-3.1027248E-01,1.38586E+00,4.78516E-01
-3.1027156E-01,1.48352E+00,4.58984E-01
-3.1027064E-01,1.48352E+00,4.98047E-01
-3.1026972E-01,1.42492E+00,4.19922E-01
-3.1026880E-01,1.48352E+00,4.78516E-01
-3.1026788E-01,1.42492E+00,4.78516E-01
-3.1026696E-01,1.46398E+00,5.37109E-01
-3.1026604E-01,1.42492E+00,4.78516E-01
-3.1026512E-01,1.46398E+00,5.17578E-01
-3.1026420E-01,1.50305E+00,4.58984E-01
-3.1026328E-01,1.40539E+00,4.78516E-01
-3.1026236E-01,1.46398E+00,4.19922E-01
-3.1026144E-01,1.46398E+00,4.58984E-01
-3.1026052E-01,1.42492E+00,3.80859E-01
-3.1025960E-01,1.36633E+00,3.80859E-01
-3.1025868E-01,1.50305E+00,4.78516E-01
-3.1025776E-01,1.42492E+00,4.19922E-01
-3.1025684E-01,1.42492E+00,4.58984E-01
-3.1025592E-01,1.34680E+00,4.39453E-01
-3.1025500E-01,1.38586E+00,4.98047E-01
-3.1025408E-01,1.42492E+00,4.58984E-01
-3.1025316E-01,1.36633E+00,4.00391E-01
-3.1025224E-01,1.44445E+00,3.61328E-01
-3.1025132E-01,1.32727E+00,3.80859E-01
-3.1025040E-01,1.30773E+00,4.39453E-01
-3.1024948E-01,1.32727E+00,4.98047E-01
-3.1024856E-01,1.36633E+00,4.39453E-01
-3.1024764E-01,1.30773E+00,4.39453E-01
-3.1024672E-01,1.38586E+00,4.39453E-01
-3.1024580E-01,1.36633E+00,4.58984E-01
-3.1024488E-01,1.34680E+00,4.00391E-01
-3.1024396E-01,1.28820E+00,4.00391E-01
-3.1024304E-01,1.32727E+00,3.80859E-01
-3.1024212E-01,1.32727E+00,4.00391E-01
-3.1024120E-01,1.34680E+00,4.19922E-01
-3.1024028E-01,1.36633E+00,4.19922E-01
-3.1023936E-01,1.36633E+00,4.58984E-01
-3.1023844E-01,1.36633E+00,3.41797E-01
-3.1023752E-01,1.34680E+00,3.80859E-01
-3.1023660E-01,1.32727E+00,3.41797E-01
-3.1023568E-01,1.36633E+00,4.39453E-01
-3.1023476E-01,1.26867E+00,3.22266E-01
-3.1023384E-01,1.36633E+00,4.00391E-01
-3.1023292E-01,1.34680E+00,3.02734E-01
-3.1023200E-01,1.34680E+00,3.61328E-01
-3.1023108E-01,1.28820E+00,2.44141E-01
-3.1023016E-01,1.34680E+00,3.61328E-01
-3.1022924E-01,1.28820E+00,3.61328E-01
-3.1022832E-01,1.30773E+00,3.41797E-01
-3.1022740E-01,1.30773E+00,2.83203E-01
-3.1022648E-01,1.34680E+00,2.63672E-01
-3.1022556E-01,1.30773E+00,3.22266E-01
-3.1022464E-01,1.24914E+00,3.02734E-01
-3.1022372E-01,1.26867E+00,3.61328E-01
-3.1022280E-01,1.21008E+00,2.24609E-01
-3.1022188E-01,1.30773E+00,3.41797E-01
-3.1022096E-01,1.30773E+00,3.61328E-01
-3.1022004E-01,1.26867E+00,2.44141E-01
-3.1021912E-01,1.19055E+00,2.83203E-01
-3.1021820E-01,1.28820E+00,2.63672E-01
-3.1021728E-01,1.32727E+00,2.83203E-01
-3.1021636E-01,1.26867E+00,2.05078E-01
-3.1021544E-01,1.28820E+00,2.63672E-01
-3.1021452E-01,1.30773E+00,2.63672E-01
-3.1021360E-01,1.22961E+00,2.24609E-01
-3.1021268E-01,1.30773E+00,2.05078E-01
-3.1021176E-01,1.21008E+00,2.44141E-01
-3.1021084E-01,1.28820E+00,1.66016E-01
-3.1020992E-01,1.26867E+00,2.24609E-01
-3.1020900E-01,1.21008E+00,2.05078E-01
-3.1020808E-01,1.28820E+00,3.41797E-01
-3.1020716E-01,1.21008E+00,1.66016E-01
-3.1020624E-01,1.21008E+00,2.44141E-01
-3.1020532E-01,1.26867E+00,1.85547E-01
-3.1020440E-01,1.24914E+00,2.24609E-01
-3.1020348E-01,1.22961E+00,2.05078E-01
-3.1020256E-01,1.24914E+00,2.05078E-01
-3.1020164E-01,1.24914E+00,2.05078E-01
-3.1020072E-01,1.28820E+00,2.05078E-01
-3.1019980E-01,1.22961E+00,2.05078E-01
-3.1019888E-01,1.28820E+00,1.66016E-01
-3.1019796E-01,1.30773E+00,1.66016E-01
-3.1019704E-01,1.28820E+00,2.05078E-01
-3.1019612E-01,1.34680E+00,1.66016E-01
-3.1019520E-01,1.21008E+00,1.66016E-01
-3.1019428E-01,1.22961E+00,1.26953E-01
-3.1019336E-01,1.21008E+00,1.85547E-01
-3.1019244E-01,1.28820E+00,1.26953E-01
-3.1019152E-01,1.24914E+00,1.46484E-01
-3.1019060E-01,1.21008E+00,1.07422E-01
-3.1018968E-01,1.26867E+00,1.07422E-01
-3.1018876E-01,1.26867E+00,1.66016E-01
-3.1018784E-01,1.21008E+00,1.85547E-01
-3.1018692E-01,1.26867E+00,1.07422E-01
-3.1018600E-01,1.22961E+00,4.88281E-02
-3.1018508E-01,1.24914E+00,2.92969E-02
-3.1018416E-01,1.24914E+00,1.26953E-01
-3.1018324E-01,1.24914E+00,6.83594E-02
-3.1018232E-01,1.22961E+00,1.46484E-01
-3.1018140E-01,1.26867E+00,6.83594E-02
-3.1018048E-01,1.22961E+00,1.07422E-01
-3.1017956E-01,1.24914E+00,6.83594E-02
-3.1017864E-01,1.26867E+00,4.88281E-02
-3.1017772E-01,1.28820E+00,9.76562E-03
