in s,C1 in V,C2 in V
-1.59499840E-01,2.45508E+00,-9.08203E-01
-1.59498912E-01,2.51367E+00,-8.88672E-01
-1.59497984E-01,2.47461E+00,-9.08203E-01
-1.59497056E-01,2.41602E+00,-9.47266E-01
-1.59496128E-01,2.45508E+00,-9.08203E-01
-1.59495200E-01,2.47461E+00,-8.69141E-01
-1.59494272E-01,2.43555E+00,-9.47266E-01
-1.59493344E-01,2.51367E+00,-8.69141E-01
-1.59492416E-01,2.41602E+00,-9.27734E-01
-1.59491488E-01,2.35742E+00,-9.08203E-01
-1.59490560E-01,2.49414E+00,-9.08203E-01
-1.59489632E-01,2.41602E+00,-8.88672E-01
-1.59488704E-01,2.45508E+00,-9.47266E-01
-1.59487776E-01,2.35742E+00,-8.88672E-01
-1.59486848E-01,2.41602E+00,-9.27734E-01
-1.59485920E-01,2.41602E+00,-8.88672E-01
-1.59484992E-01,2.39648E+00,-1.00586E+00
-1.59484064E-01,2.41602E+00,-9.08203E-01
-1.59483136E-01,2.35742E+00,-9.47266E-01
-1.59482208E-01,2.35742E+00,-9.86328E-01
-1.59481280E-01,2.37695E+00,-8.88672E-01
-1.59480352E-01,2.37695E+00,-9.08203E-01
-1.59479424E-01,2.35742E+00,-9.27734E-01
-1.59478496E-01,2.33789E+00,-9.27734E-01
-1.59477568E-01,2.37695E+00,-9.47266E-01
-1.59476640E-01,2.31836E+00,-9.27734E-01
-1.59475712E-01,2.33789E+00,-8.88672E-01
-1.59474784E-01,2.31836E+00,-9.08203E-01
-1.59473856E-01,2.37695E+00,-9.27734E-01
-1.59472928E-01,2.29883E+00,-9.86328E-01
-1.59472000E-01,2.33789E+00,-9.27734E-01
-1.59471072E-01,2.31836E+00,-9.47266E-01
-1.59470144E-01,2.27930E+00,-9.66797E-01
-1.59469216E-01,2.27930E+00,-8.69141E-01
-1.59468288E-01,2.27930E+00,-1.02539E+00
-1.59467360E-01,2.27930E+00,-9.47266E-01
-1.59466432E-01,2.27930E+00,-9.66797E-01
-1.59465504E-01,2.25977E+00,-9.47266E-01
-1.59464576E-01,2.24023E+00,-9.47266E-01
-1.59463648E-01,2.25977E+00,-9.66797E-01
-1.59462720E-01,2.25977E+00,-9.08203E-01
-1.59461792E-01,2.25977E+00,-8.88672E-01
-1.59460864E-01,2.29883E+00,-9.86328E-01
-1.59459936E-01,2.25977E+00,-9.08203E-01
-1.59459008E-01,2.20117E+00,-9.27734E-01
-1.59458080E-01,2.25977E+00,-9.47266E-01
-1.59457152E-01,2.24023E+00,-9.47266E-01
-1.59456224E-01,2.20117E+00,-9.47266E-01
-1.59455296E-01,2.25977E+00,-9.27734E-01
-1.59454368E-01,2.18164E+00,-1.00586E+00
-1.59453440E-01,2.14258E+00,-9.66797E-01
-1.59452512E-01,2.25977E+00,-9.27734E-01
-1.59451584E-01,2.10352E+00,-9.47266E-01
-1.59450656E-01,2.20117E+00,-9.86328E-01
-1.59449728E-01,2.12305E+00,-1.00586E+00
-1.59448800E-01,2.18164E+00,-9.66797E-01
-1.59447872E-01,2.16211E+00,-9.47266E-01
-1.59446944E-01,2.08398E+00,-1.02539E+00
-1.59446016E-01,2.12305E+00,-9.86328E-01
-1.59445088E-01,2.14258E+00,-9.27734E-01
-1.59444160E-01,2.20117E+00,-9.66797E-01
-1.59443232E-01,2.12305E+00,-9.47266E-01
-1.59442304E-01,2.06445E+00,-1.00586E+00
-1.59441376E-01,2.16211E+00,-9.66797E-01
-1.59440448E-01,2.10352E+00,-9.66797E-01
-1.59439520E-01,2.02539E+00,-9.86328E-01
-1.59438592E-01,2.02539E+00,-1.00586E+00
-1.59437664E-01,2.08398E+00,-1.02539E+00
-1.59436736E-01,2.12305E+00,-1.04492E+00
-1.59435808E-01,2.06445E+00,-1.06445E+00
-1.59434880E-01,2.06445E+00,-1.02539E+00
-1.59433952E-01,2.04492E+00,-9.47266E-01
-1.59433024E-01,1.98633E+00,-9.66797E-01
-1.59432096E-01,1.98633E+00,-1.04492E+00
-1.59431168E-01,2.04492E+00,-8.88672E-01
-1.59430240E-01,2.08398E+00,-9.47266E-01
