in s,C2 in V
-1.09893984E+00,4.78516E-01
-1.09893060E+00,2.44141E-01
-1.09892136E+00,4.88281E-02
-1.09891212E+00,-1.85547E-01
-1.09890288E+00,-3.61328E-01
-1.09889364E+00,-4.58984E-01
-1.09888440E+00,-6.34766E-01
-1.09887516E+00,-6.73828E-01
-1.09886592E+00,-7.32422E-01
-1.09885668E+00,-8.10547E-01
-1.09884744E+00,-7.32422E-01
-1.09883820E+00,-7.51953E-01
-1.09882896E+00,-7.51953E-01
-1.09881972E+00,-8.10547E-01
-1.09881048E+00,-8.30078E-01
-1.09880124E+00,-9.86328E-01
-1.09879200E+00,-9.27734E-01
-1.09878276E+00,-8.69141E-01
-1.09877352E+00,-9.08203E-01
-1.09876428E+00,-7.71484E-01
-1.09875504E+00,-4.39453E-01
-1.09874580E+00,-8.78906E-02
-1.09873656E+00,2.05078E-01
-1.09872732E+00,4.98047E-01
-1.09871808E+00,6.54297E-01
-1.09870884E+00,8.10547E-01
-1.09869960E+00,9.08203E-01
-1.09869036E+00,7.32422E-01
-1.09868112E+00,7.51953E-01
-1.09867188E+00,7.12891E-01
-1.09866264E+00,7.32422E-01
-1.09865340E+00,7.12891E-01
-1.09864416E+00,7.12891E-01
-1.09863492E+00,6.54297E-01
-1.09862568E+00,5.95703E-01
-1.09861644E+00,5.17578E-01
-1.09860720E+00,4.19922E-01
-1.09859796E+00,1.85547E-01
-1.09858872E+00,-9.76562E-03
-1.09857948E+00,-2.05078E-01
-1.09857024E+00,-2.83203E-01
-1.09856100E+00,-4.39453E-01
-1.09855176E+00,-5.56641E-01
-1.09854252E+00,-6.93359E-01
-1.09853328E+00,-6.73828E-01
-1.09852404E+00,-7.32422E-01
-1.09851480E+00,-7.71484E-01
-1.09850556E+00,-7.71484E-01
-1.09849632E+00,-7.91016E-01
-1.09848708E+00,-8.10547E-01
-1.09847784E+00,-7.51953E-01
-1.09846860E+00,-9.08203E-01
-1.09845936E+00,-8.88672E-01
-1.09845012E+00,-9.47266E-01
-1.09844088E+00,-8.69141E-01
-1.09843164E+00,-7.51953E-01
-1.09842240E+00,-4.58984E-01
-1.09841316E+00,-1.66016E-01
-1.09840392E+00,2.05078E-01
-1.09839468E+00,3.80859E-01
-1.09838544E+00,6.34766E-01
-1.09837620E+00,8.10547E-01
-1.09836696E+00,7.51953E-01
-1.09835772E+00,7.71484E-01
-1.09834848E+00,7.91016E-01
-1.09833924E+00,7.51953E-01
-1.09833000E+00,7.51953E-01
-1.09832076E+00,5.76172E-01
-1.09831152E+00,6.54297E-01
-1.09830228E+00,5.95703E-01
-1.09829304E+00,5.95703E-01
-1.09828380E+00,5.76172E-01
-1.09827456E+00,4.19922E-01
-1.09826532E+00,2.05078E-01
-1.09825608E+00,1.26953E-01
-1.09824684E+00,-2.05078E-01
-1.09823760E+00,-2.24609E-01
-1.09822836E+00,-5.56641E-01
-1.09821912E+00,-5.17578E-01
-1.09820988E+00,-6.54297E-01
-1.09820064E+00,-7.12891E-01
-1.09819140E+00,-6.54297E-01
-1.09818216E+00,-7.91016E-01
-1.09817292E+00,-7.32422E-01
-1.09816368E+00,-7.91016E-01
-1.09815444E+00,-8.30078E-01
-1.09814520E+00,-8.10547E-01
-1.09813596E+00,-9.08203E-01
-1.09812672E+00,-8.88672E-01
-1.09811748E+00,-8.69141E-01
-1.09810824E+00,-8.88672E-01
-1.09809900E+00,-8.10547E-01
-1.09808976E+00,-4.58984E-01
-1.09808052E+00,-2.05078E-01
-1.09807128E+00,2.24609E-01
-1.09806204E+00,3.80859E-01
-1.09805280E+00,6.54297E-01
-1.09804356E+00,7.51953E-01
-1.09803432E+00,9.08203E-01
-1.09802508E+00,8.69141E-01
-1.09801584E+00,7.91016E-01
-1.09800660E+00,7.32422E-01
-1.09799736E+00,7.51953E-01
-1.09798812E+00,6.73828E-01
-1.09797888E+00,6.93359E-01
-1.09796964E+00,7.12891E-01
-1.09796040E+00,6.15234E-01
-1.09795116E+00,5.17578E-01
-1.09794192E+00,4.39453E-01
-1.09793268E+00,2.44141E-01
-1.09792344E+00,1.46484E-01
-1.09791420E+00,-1.85547E-01
-1.09790496E+00,-2.83203E-01
-1.09789572E+00,-3.61328E-01
-1.09788648E+00,-5.37109E-01
-1.09787724E+00,-6.34766E-01
-1.09786800E+00,-6.73828E-01
-1.09785876E+00,-7.51953E-01
-1.09784952E+00,-6.34766E-01
-1.09784028E+00,-7.51953E-01
-1.09783104E+00,-7.91016E-01
-1.09782180E+00,-7.51953E-01
